标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,是否是人车分流,是否是品牌房企,是否是车位充足,是否是国央企,是否是绿化率高,是否是低总价,是否是佛山楼盘,是否是低单价,是否是小型社区,是否是近地铁,是否是大型社区,是否是地铁沿线
悦辰壹号,黄埔,知识城,在售,24000,"3室, 4室",128.5,255.0,1,0,1,0,0,1,0,1,0,0,0,0
国科众安江屿大观,番禺,市桥,在售,16800,"2室, 3室, 4室",117.0,332.5,1,1,1,0,0,0,0,0,0,0,0,0
振业学府里,增城,白江,在售,13500,"3室, 4室",91.0,127.5,1,0,0,1,0,1,0,0,1,0,0,0
越秀联投知识城·居山涧,黄埔,知识城,在售,46000,4室,165.0,850.0,0,0,0,1,1,0,0,0,0,0,0,0
中洲紫轩,黄埔,鱼珠,在售,50000,"3室, 4室, 5室",126.0,685.0,1,1,1,0,0,0,0,0,0,1,0,0
万科黄埔新城,黄埔,南岗,在售,33000,"3室, 4室",109.0,367.5,1,0,0,1,1,1,0,0,0,0,0,0
广州城投领南府,番禺,广州南站,在售,32000,"2室, 3室",120.5,402.0,0,0,1,1,1,1,0,0,0,0,0,0
云裳峯尚,白云,同和,在售,55000,"3室, 4室",105.5,681.0,1,1,1,0,0,0,0,0,0,0,0,0
金科景业·雍景园,增城,中新镇,待售,24500,1室,61.0,97.5,1,1,1,0,0,1,0,0,0,0,0,0
保利天汇,天河,黄村,在售,55000,1室,112.0,616.0,1,1,1,1,0,0,0,0,0,0,0,0
越秀·大学·星汇城,番禺,国际创新城,在售,38000,"3室, 4室, 5室",106.5,437.5,0,0,1,1,1,1,0,0,0,0,0,0
保利珑悦,增城,永宁,在售,12000,"2室, 3室",91.0,113.5,1,0,1,0,0,1,0,1,0,0,0,0
飞晟汇,黄埔,香雪,在售,21800,"1室, 4室, 5室",435.0,1003.5,0,0,1,0,0,0,0,0,0,1,0,1
路劲星棠,增城,白江,在售,16000,"2室, 4室",86.5,139.0,1,1,1,0,0,0,0,0,0,0,0,1
知识城投资嘉达·山与墅,黄埔,知识城,在售,45000,"3室, 4室",170.5,750.0,0,0,1,1,1,0,0,0,0,0,0,0
远洋天成,增城,新塘北,在售,16500,"3室, 4室",88.0,149.0,1,0,0,1,0,0,0,0,1,0,0,1
广晟中国铁建花语天珹,花都,花城街,在售,21000,"2室, 3室, 4室",138.0,320.0,0,1,1,1,1,0,0,0,0,0,0,0
金地商置都会峯范,花都,铁路西,在售,16500,"2室, 3室",103.0,180.0,1,1,1,0,0,1,0,0,0,0,0,0
中建凤榕台,增城,朱村,在售,23000,"3室, 4室",85.0,195.0,1,1,0,1,0,0,0,0,0,0,1,0
中铁建信达花语天宸,黄埔,科学城,在售,41000,"3室, 4室",132.5,610.0,1,1,1,1,0,0,0,0,0,0,0,0
中盛顺和家园,增城,荔城增江,在售,12000,"3室, 4室",113.0,160.0,1,0,1,0,0,1,0,1,0,0,0,0
中旅名门府,花都,镜湖大道,在售,18500,"2室, 3室",98.0,200.0,0,0,1,1,1,1,0,0,0,0,0,0
中海保利朗阅,荔湾,西朗,在售,50000,"2室, 3室, 4室",140.0,770.0,0,1,1,1,1,0,0,0,0,0,0,0
珠江未来城,番禺,莲花山,在售,11000,"1室, 2室",52.0,67.5,1,0,0,0,1,1,0,1,0,0,0,0
星河畔月湾,南沙,横沥,在售,20000,"3室, 4室",103.0,210.0,0,0,1,0,1,1,0,1,0,0,0,0
振业天成,黄埔,科学城,在售,39000,4室,136.0,649.0,0,1,1,1,1,0,0,0,0,0,0,0
绿城桂语汀澜,南沙,明珠湾,在售,28000,4室,119.5,333.0,0,1,1,1,1,0,0,0,0,0,0,0
招商湾区1872,南沙,东涌,在售,22000,"3室, 4室",92.0,200.0,1,0,1,0,0,1,0,1,0,0,0,0
海语天悦湾,南沙,明珠湾,在售,28000,"2室, 3室",111.0,345.0,0,1,1,1,1,0,0,0,0,0,0,0
国贸学原,增城,荔城西区,在售,12600,"2室, 3室, 4室",102.0,134.0,1,0,0,0,0,1,0,1,0,0,1,0
公交珠实花城云著,白云,夏茅,在售,35000,"3室, 4室",78.0,284.5,1,0,1,1,0,1,0,0,0,0,0,0
中海江泰里,海珠,江燕路,在售,65000,"3室, 4室",90.0,625.0,1,1,0,1,1,0,0,0,0,0,0,0
保利水木芳华,增城,朱村,在售,12000,"1室, 2室",85.0,132.0,1,0,0,0,0,1,0,1,0,0,1,0
保利领秀海,番禺,莲花山,在售,22000,"3室, 4室",116.5,300.0,1,0,0,0,1,1,0,1,0,0,0,0
云麓花城,白云,太和,在售,23000,"3室, 4室",82.0,197.0,1,0,1,0,0,1,0,1,0,0,0,0
电建都汇府,花都,新区,在售,36000,"3室, 4室",155.0,580.0,1,1,1,1,0,0,0,0,0,0,0,0
金地公园名著,增城,永宁,在售,11000,"2室, 3室",87.5,87.5,1,0,1,0,0,1,0,1,0,0,0,0
中洲紫轩,黄埔,鱼珠,待售,35000,"3室, 4室",78.0,353.0,1,1,1,0,0,1,0,0,0,0,0,0
广垦天河1号,天河,沙太南,在售,30000,"1室, 2室",40.0,122.0,1,0,0,1,0,1,0,0,0,0,0,0
越秀星耀TOD,增城,新塘北,在售,16000,"2室, 3室",50.5,81.0,1,0,0,0,0,0,0,0,0,1,1,1
珠光海珠新城,海珠,南洲,在售,55000,"3室, 4室, 5室",162.5,1387.5,0,0,1,0,1,0,0,0,0,0,0,1
龙狮璟珑府,黄埔,知识城,在售,23000,"3室, 4室",129.5,325.0,0,0,0,0,1,1,0,1,0,0,0,0
广州城投·空港1号,花都,镜湖大道,在售,20000,"3室, 4室",95.5,230.0,0,1,1,1,1,0,0,0,0,0,0,0
珠江广钢花城,荔湾,东塱,在售,35000,"3室, 4室, 5室",90.5,385.0,0,1,0,1,1,1,0,0,0,0,0,0
珠江·金瑶台,海珠,昌岗,在售,50000,"2室, 3室",91.0,455.0,1,0,0,1,1,0,0,0,0,0,0,0
富好城繁华里,增城,新塘北,在售,12000,3室,93.0,115.0,1,0,0,0,0,1,0,1,0,0,1,0
天地源伴山溪谷,番禺,石楼,在售,22000,"2室, 3室",93.0,203.0,0,0,1,0,1,1,0,1,0,0,0,0
广开控股城投云锦,黄埔,长岭居,在售,45000,"3室, 4室",155.0,710.0,1,1,1,1,0,0,0,0,0,0,0,0
御璟兰园,南沙,明珠湾,在售,30000,5室,111.5,445.0,1,0,1,1,0,1,0,0,0,0,0,0
合生中央城（商业）,黄埔,香雪,在售,60000,1室,46.0,240.0,1,0,0,0,0,0,0,0,0,0,1,0
星河江堤春晓,南沙,明珠湾,在售,33000,"3室, 4室",116.0,350.0,1,1,1,0,0,0,0,0,0,0,0,0
科苑壹号,南沙,南沙湾,在售,24000,4室,145.5,490.0,0,1,1,1,1,0,0,0,0,0,0,0
越秀江海潮鸣,南沙,明珠湾,在售,28000,"2室, 3室",118.0,410.5,1,1,1,1,0,0,0,0,0,0,0,0
越秀大学城和樾府,番禺,国际创新城,在售,50000,"3室, 4室",135.0,652.5,0,0,1,1,1,0,0,0,0,0,0,0
越秀白云星汇城,白云,钟落潭,在售,18000,"3室, 4室",95.0,228.0,1,0,0,0,1,1,0,1,0,0,0,0
力迅荔筑,荔湾,西场,在售,59000,"3室, 4室",99.5,605.0,1,1,0,0,0,0,0,0,1,1,0,0
保利越秀·天启,荔湾,鹤洞,在售,25000,"2室, 3室",47.0,130.0,1,0,0,1,0,1,0,0,0,0,0,0
香江天辰,增城,凤凰城,在售,13000,4室,90.5,135.0,0,0,1,0,0,1,0,1,0,0,0,0
保利明玥湖光,增城,增城碧桂园,在售,17000,"2室, 3室",102.5,174.0,1,1,1,1,0,0,0,0,0,0,0,0
中铁阅江来,南沙,南沙区府,在售,17000,"2室, 3室",107.0,245.0,1,0,0,0,0,0,0,1,0,0,0,0
中国铁建西派澜岸,南沙,明珠湾,在售,30000,3室,183.0,450.0,0,1,1,1,0,0,0,0,0,0,0,0
云城上品,白云,嘉禾望岗,在售,37000,3室,88.5,315.0,0,0,1,1,1,1,0,0,0,0,0,0
珠实云悦花语,白云,钟落潭,在售,15000,"3室, 4室",84.0,145.0,0,0,1,0,1,1,0,1,0,0,0,0
诚汇新都·榕诚湾,荔湾,汾水,在售,35000,4室,125.0,670.0,1,1,0,0,1,1,0,0,0,0,0,0
东江逸珑湾,增城,新塘南,在售,17000,"3室, 4室",108.0,200.0,1,1,0,0,0,0,0,1,0,0,1,0
中海麓府,白云,江夏,在售,56000,"3室, 4室",148.0,920.0,1,1,1,1,0,0,0,0,0,0,0,0
祈福半山臻品,番禺,祈福新村,在售,30000,"2室, 3室, 4室",113.5,363.5,0,0,1,0,1,1,0,1,0,0,0,0
岭南V谷荔湾新天地,荔湾,广钢新城,在售,28000,"2室, 3室, 4室",53.0,180.0,0,0,1,1,1,1,0,0,0,0,0,0
越秀公交天悦云山府,白云,东平,在售,32000,"3室, 5室",123.0,535.0,1,0,1,1,0,1,0,0,0,0,0,0
布查特官邸情景洋房,番禺,汉溪长隆,在售,28000,"1室, 3室",85.5,252.5,0,0,0,0,1,1,0,1,0,0,0,0
玖玥,花都,铁路西,在售,11800,"2室, 3室, 4室",112.0,145.5,0,0,1,0,1,1,0,1,0,0,0,0
保利锦上,黄埔,香雪,在售,29000,3室,105.0,302.5,0,0,1,1,1,1,0,0,0,0,0,0
大华城东瀚,增城,朱村,在售,13000,"2室, 3室, 4室",80.5,125.0,1,0,1,0,0,1,0,1,0,0,0,0
保利和悦滨江,荔湾,西朗,在售,45000,"3室, 4室",90.5,360.0,1,0,0,1,1,1,0,0,0,0,0,0
星河湾萝峰,黄埔,香雪,在售,38000,"3室, 5室",197.5,1015.0,0,1,1,0,1,0,0,0,0,0,0,0
新鸿基地产峻銮,番禺,广州南站,在售,45000,"3室, 4室",115.0,593.0,0,1,1,0,1,0,0,0,0,1,0,0
富丰华庭,增城,朱村,在售,13000,"2室, 3室",103.5,134.0,1,0,1,0,0,1,0,1,0,0,0,0
长岭雅居,黄埔,长岭居,在售,46000,4室,175.0,747.5,0,1,1,1,1,0,0,0,0,0,0,0
珠实·嘉悦湾,白云,同德围,在售,38000,"4室, 5室",100.5,385.0,1,0,1,1,0,1,0,0,0,0,0,0
星晴雅筑,番禺,市桥北,在售,31000,2室,91.0,282.0,1,0,0,0,0,1,0,0,1,0,0,1
世纪金源天河源筑,天河,粤垦,在售,61888,"3室, 4室, 5室",137.5,957.5,0,1,1,0,1,0,0,0,0,0,0,1
越秀滨海花城,南沙,南沙区府,在售,15000,3室,86.0,118.5,1,0,1,0,0,1,0,1,0,0,0,0
中国铁建翰林新语,增城,新塘北,在售,18000,"2室, 3室",83.5,155.0,1,1,1,1,0,0,0,0,0,0,0,0
联投·文津府,天河,黄村,在售,58000,"3室, 4室",138.0,840.0,0,1,1,1,1,0,0,0,0,0,0,0
万科·理想花地·瑧园,荔湾,花地湾,在售,54000,"3室, 4室",148.0,805.0,1,1,1,1,0,0,0,0,0,0,0,0
万科·理想花地·朗庭,荔湾,花地湾,在售,47000,"2室, 3室",103.5,480.0,1,1,0,1,0,0,0,0,0,0,0,0
智联花园,番禺,莲花山,在售,30000,"3室, 4室",108.0,3000.0,1,1,1,1,0,0,0,0,0,0,0,0
仟信广场,从化,河滨北路,在售,8000,1室,51.0,45.0,0,0,1,0,1,1,0,1,0,0,0,0
中建天河精诚壹号,天河,岑村,在售,52000,"2室, 3室, 4室",98.0,570.0,1,0,0,1,1,0,0,0,0,0,0,0
中国铁建西派粤府,海珠,沥滘,在售,65000,4室,130.0,990.0,0,1,1,1,1,0,0,0,0,0,0,0
云平上品,白云,东平,在售,55000,4室,150.0,820.0,0,1,1,1,1,0,0,0,0,0,0,0
越秀大学星汇锦城,番禺,南村,在售,30000,"3室, 4室",98.0,310.0,1,0,0,0,1,1,0,1,0,0,0,0
珠江国际城,从化,神岗镇,在售,19000,1室,39.5,110.0,1,1,0,0,0,0,0,0,0,1,1,0
保利瑧誉,荔湾,坑口,在售,55000,"3室, 4室",129.0,735.0,1,1,0,1,1,0,0,0,0,0,0,0
品秀·星瀚,番禺,广州南站,在售,30000,"3室, 4室",108.0,80.0,1,0,1,1,0,1,0,0,0,0,0,0
龙湖御湖境,番禺,大石,在售,42000,4室,160.5,684.0,0,1,1,0,1,0,0,0,0,0,0,1
保利锦上,黄埔,香雪,在售,35000,"3室, 4室",79.0,190.0,1,1,1,1,0,0,0,0,0,0,0,0
上馨华府,番禺,大石,在售,28000,"3室, 4室",108.0,260.0,0,0,0,0,1,1,0,1,0,0,0,0
长隆万博悦府,番禺,汉溪长隆,在售,65000,"4室, 5室",204.0,1465.0,0,0,1,1,1,0,0,0,0,0,0,0
东基天河阳光,天河,黄村,在售,38000,"3室, 4室",108.0,120.0,1,1,0,0,0,1,0,0,1,0,0,0
江语上品苑,白云,石井,在售,45000,"3室, 4室",222.0,1535.0,1,1,1,1,0,0,0,0,0,0,0,0
华润置地天河润府,天河,黄村,在售,60000,"3室, 4室",105.5,605.0,0,0,1,1,1,0,0,0,0,0,0,0
佳兆业佳泽园,增城,荔城西区,在售,18500,"3室, 4室",108.0,130.0,1,1,1,0,0,0,0,1,0,0,0,0
保利水木芳华,增城,朱村,待售,25000,"3室, 4室",108.0,130.0,1,1,0,1,0,0,0,0,1,0,0,0
铂玥明珠ONE,南沙,明珠湾,在售,14000,"2室, 3室",62.0,105.5,1,1,1,0,0,0,0,0,0,1,0,0
中海浣花里,荔湾,坑口,在售,46000,"3室, 4室",89.5,400.0,1,1,0,1,0,0,0,0,1,0,0,0
武汉城建·保利·花语和岸,荔湾,芳村,在售,51000,"3室, 4室",114.0,590.0,1,1,0,0,1,0,0,0,0,1,0,0
保利琅誉,番禺,番禺客运站,在售,38000,2室,112.0,410.0,0,0,1,1,1,1,0,0,0,0,0,0
路劲美的隽樾府,番禺,番禺广场,在售,38000,3室,109.5,470.0,1,1,1,0,0,0,0,0,0,1,0,0
明月豪庭,越秀,西门口,在售,28000,2室,75.5,321.0,0,0,0,0,0,0,0,0,1,1,0,1
保利和颂,荔湾,坑口,在售,46000,"1室, 3室",85.5,419.5,1,0,0,1,0,1,0,0,1,0,0,0
国贸云上,白云,嘉禾望岗,在售,50000,"3室, 4室",114.0,502.5,1,1,0,1,1,0,0,0,0,0,0,0
星河智荟二期,南沙,明珠湾,在售,20000,3室,135.5,400.0,1,0,0,0,1,1,0,1,0,0,0,0
建发明珠湾玺,南沙,明珠湾,在售,19500,"3室, 4室",108.0,70.0,1,1,0,1,0,0,0,0,0,0,0,0
建发明珠湾玺,南沙,明珠湾,在售,19500,"0室, 1室",54.0,100.0,1,0,0,1,0,1,0,0,0,0,0,0
金海岸花园观海,番禺,番禺客运站,在售,50000,"4室, 5室",269.0,1360.0,0,0,0,0,1,0,0,0,0,0,0,0
高新仕林苑,黄埔,长岭居,在售,35000,"3室, 4室, 5室",140.0,540.0,0,1,1,1,1,0,0,0,0,0,0,0
粤海·云港城,白云,白云大道南,在售,40000,"3室, 4室",138.5,620.0,1,1,0,1,0,0,0,0,0,0,1,0
城投天禧,天河,智慧城,在售,43000,"3室, 4室",123.0,550.0,0,1,1,1,1,0,0,0,0,0,0,0
新世界·天馥,荔湾,滘口,在售,41000,"3室, 4室",107.5,457.5,1,1,0,0,0,1,0,0,0,0,0,0
广开云汇科技金融中心,黄埔,科学城,在售,28000,"1室, 2室, 3室",81.5,222.5,1,1,0,1,0,0,0,0,0,0,1,0
中海天幕湾,番禺,亚运城,在售,36000,4室,208.5,850.0,1,1,1,1,0,0,0,0,0,0,0,0
云筑上品,白云,夏茅,在售,43000,"3室, 4室",115.0,510.0,0,1,1,1,1,0,0,0,0,0,0,0
首开保利.云湖壹号,白云,夏茅,在售,47000,1室,30.0,140.0,1,0,1,1,0,1,0,0,0,0,0,0
晟云台,白云,龙归,在售,35000,"3室, 4室",108.0,2200.0,1,0,1,0,0,1,0,0,0,0,0,1
保利云境,白云,黄石,在售,36000,"1室, 2室",89.0,280.0,1,0,0,1,1,1,0,0,0,0,0,0
越秀珠实天悦海湾,南沙,南沙港,在售,10000,"3室, 4室",108.0,45.0,1,0,1,1,0,1,0,0,0,0,0,0
广州白云站TOD粤胜广场,白云,同德围,在售,30000,1室,2439.0,7804.8,1,0,1,1,0,1,0,0,0,0,0,0
明月豪庭,越秀,西门口,在售,28000,2室,87.0,321.0,0,0,0,0,0,0,0,0,1,1,0,1
绿城·揽江印月,番禺,市桥,在售,29000,"3室, 4室",145.0,345.0,0,0,1,0,1,1,0,1,0,0,0,0
保利琶洲四季,海珠,琶洲东,在售,40000,3室,117.0,540.0,1,1,0,1,0,0,0,0,0,0,0,0
致景轩,海珠,广州大道南,在售,52000,"2室, 3室",94.0,497.5,1,0,1,0,0,0,0,0,0,0,0,1
珺筑水岸,南沙,万顷沙,在售,17000,4室,147.0,247.5,1,0,1,0,0,1,0,1,0,0,0,0
保利燕语堂悦,海珠,江燕路,在售,61000,"3室, 4室",101.5,615.0,0,1,1,1,1,0,0,0,0,0,0,0
能建天河麓誉府,天河,高唐,在售,42000,"3室, 4室, 5室",102.5,480.0,0,1,1,1,1,0,0,0,0,0,0,0
保利滨江和著,番禺,大石,在售,39000,"3室, 4室",114.0,500.0,0,0,1,1,1,1,0,0,0,0,0,0
西派尊府,南沙,明珠湾,在售,50000,4室,324.0,1500.0,1,1,1,1,0,0,0,0,0,0,0,0
保利琅悦,花都,旧区,在售,24000,"3室, 4室",137.5,300.0,0,1,1,1,1,0,0,0,0,0,0,0
星河盛世禧悦,黄埔,开发东区,在售,24000,"3室, 4室",98.0,240.0,0,0,1,0,1,1,0,1,0,0,0,0
中旅·阿那亚·九龙湖,花都,北兴镇,在售,23000,"4室, 5室",477.5,1125.0,0,0,0,1,1,0,0,0,0,0,0,0
城投湖山雅筑,花都,新区,在售,23000,"3室, 4室",113.5,272.5,0,1,1,1,1,0,0,0,0,0,0,0
知城翰林湖畔花园,黄埔,知识城,在售,18000,"3室, 4室",84.5,162.5,1,0,0,0,1,1,0,1,0,0,0,0
越秀万博城,番禺,汉溪长隆,在售,51000,4室,145.5,815.0,0,1,1,1,1,0,0,0,0,0,0,0
中国铁建花语上城,南沙,南沙区府,在售,28500,"3室, 4室",119.0,347.5,1,1,1,1,0,0,0,0,0,0,0,0
越秀·大学城·和樾府·飞鸟集,番禺,国际创新城,在售,20000,1室,40.5,83.0,1,1,1,1,0,0,0,0,0,0,0,0
中铁阅江来,南沙,南沙区府,待售,24000,1室,47.0,109.0,1,0,1,1,0,1,0,0,0,0,0,0
大湾区诺德云城,白云,同德围,在售,32000,"1室, 2室, 3室",55.0,164.5,0,1,0,1,0,1,0,0,0,1,0,0
中建天钰,海珠,江燕路,在售,60000,"3室, 4室",111.5,658.0,0,1,1,1,1,0,0,0,0,0,0,0
大壮名城,黄埔,科学城,在售,50000,"2室, 4室",115.5,655.0,0,0,1,0,1,0,0,0,0,1,0,0
中建未来方洲,黄埔,文冲,在售,42000,"3室, 4室",110.5,485.0,0,0,1,1,1,1,0,0,0,0,0,0
雍晟河滨广场,从化,新城片区,在售,15500,4室,78.0,139.0,1,1,0,0,0,0,0,0,1,0,0,1
智都绿城凤凰于飞,花都,新区,在售,23000,"3室, 4室",126.0,299.5,1,1,1,1,0,0,0,0,0,0,0,0
广州城投禧悦时光,花都,镜湖大道,在售,17000,"3室, 4室",98.0,167.5,0,0,1,1,1,1,0,0,0,0,0,0
广地花园,番禺,星河湾,在售,40000,"3室, 4室",108.0,450.0,0,1,1,0,0,0,0,0,0,0,1,1
广州城投禧悦府,增城,凤凰城,在售,38000,"3室, 4室",108.0,240.0,0,1,0,1,0,0,0,0,0,1,1,0
中旅璞樾天序,花都,旧区,在售,19000,"3室, 4室",104.0,191.5,1,0,0,1,0,1,0,0,0,0,1,0
花都城投翰林世家,花都,花山镇,在售,18000,4室,151.0,305.0,0,1,1,1,1,0,0,0,0,0,0,0
增江创业广场,增城,荔城增江,在售,7850,1室,40.0,31.5,1,0,0,0,0,0,0,0,1,0,0,0
广开·云翰,黄埔,知识城,在售,20000,3室,109.0,235.0,0,0,1,0,1,1,0,1,0,0,0,0
智都越秀臻智府,花都,镜湖大道,在售,16800,"3室, 4室",93.0,155.0,0,0,1,1,1,1,0,0,0,0,0,0
珠江壹城·禧悦花园,从化,神岗镇,在售,28000,1室,31.0,62.0,1,1,1,0,0,0,0,0,0,1,0,0
保利翔龙天汇,黄埔,科学城,在售,27000,"3室, 4室",108.0,500.0,1,1,1,1,0,0,0,0,0,0,0,0
广州兰园江悦,荔湾,滘口,在售,60000,"4室, 5室",239.0,1250.0,0,1,1,0,1,0,0,0,0,1,0,0
越秀珑悦西关,荔湾,南岸路,在售,50000,"2室, 3室",83.0,412.5,1,1,0,1,0,0,0,0,1,0,0,0
招商林屿境,南沙,明珠湾,待售,30000,"3室, 4室",103.5,295.0,1,1,0,1,0,0,0,0,0,0,0,0
中国美都,花都,镜湖大道,在售,10000,"1室, 6室",1194.0,1475.0,0,1,1,0,0,0,0,0,0,0,0,1
广州白云站.金街,白云,同德围,在售,55000,1室,60.0,325.0,1,1,0,1,0,0,0,0,0,0,0,0
云瀚府,越秀,东川路,在售,43000,"2室, 3室",55.5,238.5,1,1,1,0,0,0,0,0,0,1,0,0
万博企业中心,番禺,汉溪长隆,在售,40000,"4室, 16室",1726.0,7000.0,1,1,1,1,0,0,0,0,0,0,0,0
广汇新世界金融中心,增城,凤凰城,在售,20000,"3室, 4室",108.0,650.0,1,0,1,0,0,0,0,0,0,1,0,1
