标题,地区,位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
保利南沙天汇,南沙,黄阁,在售,15000,3室,106.5,"特价好房, 低单价, 车位充足, 绿化率高",227.5,9.615805480084347,5.427150238391005,4.66814498514948
保利招商华发中央公馆,黄埔,黄埔区府,在售,45000,2室,120.0,"绿化率高, 人车分流, 国央企, 品牌房企",465.0,10.714417768752456,6.142037405587356,4.787491742782046
中建海丝城,黄埔,文冲,在售,34000,4室,97.5,"绿化率高, 人车分流, 国央企, 品牌房企",330.0,10.4341158035983,5.799092654460526,4.579852378003801
中建·星光城,白云,石井,在售,26000,4室,84.5,"低单价, 低总价, 绿化率高, 人车分流",217.5,10.165851817003619,5.382198850528739,4.436751534363128
星河·盛世锦城,番禺,雅居乐,在售,37000,4室,117.0,"绿色建筑, 车位充足, 品牌房企, 近地铁",408.0,10.51867319162636,6.0112671744041615,4.762173934797756
合生中央城（住宅）,黄埔,香雪,在售,30000,3室,127.0,"低总价, 绿化率高, 人车分流, 入户花园",402.5,10.308952660644293,5.997695096858618,4.844187086458591
景业东湖洲豪园,南沙,南沙湾,在售,26000,3室,108.0,"车位充足, 低密居所, 置换改善, 养老舒适",325.0,10.165851817003619,5.783825182329737,4.68213122712422
南沙珠江湾,南沙,南沙湾,在售,30000,4室,108.0,"人车分流, 大型社区, 品牌房企, 贴心物业",318.0,10.308952660644293,5.762051382780177,4.68213122712422
碧桂园云顶,增城,凤凰城,在售,14000,4室,147.5,"车位充足, 人车分流, 品牌房企, 水系园林",163.5,9.546812608597396,5.096812990337308,4.993828175779875
新世界凯粤湾,荔湾,滘口,在售,43000,4室,114.0,"绿化率高, 人车分流, 品牌房企, 入户花园",585.0,10.668955394675699,6.371611847231857,4.736198448394496
东方名都,增城,白江,在售,19000,3室,91.0,"绿化率高, 人车分流, 入户花园, 健身跑道",274.0,9.852194258148577,5.6131281063880705,4.51085950651685
广州敏捷绿湖首府,增城,石滩镇,在售,8500,2室,97.0,"低单价, 低总价, 车位充足, 人车分流",79.0,9.047821442478408,4.3694478524670215,4.574710978503383
顺欣花园,增城,新塘北,在售,14800,3室,109.0,"人车分流, 大型社区, 儿童乐园, 地铁沿线",175.15,9.602382459752207,5.165642749643496,4.6913478822291435
新鸿基御华园,花都,狮岭镇,在售,15000,2室,93.0,"低单价, 低总价, 人车分流, 大型社区",134.0,9.615805480084347,4.897839799950911,4.532599493153256
雍晟岭南雅苑,从化,江浦街,在售,16000,4室,89.0,"绿化率高, 人车分流, 品牌房企, 入户花园",145.0,9.680344001221918,4.976733742420574,4.48863636973214
卓粤卓雅名苑,花都,花城街,在售,14500,3室,101.0,"低单价, 低总价, 车位充足, 绿化率高",155.0,9.581903928408666,5.043425116919247,4.61512051684126
万科幸福誉1期,黄埔,知识城,在售,31000,4室,116.0,"车位充足, 绿化率高, 国央企, 品牌房企",550.0,10.341742483467284,6.309918278226516,4.7535901911063645
科城山庄峻森园,黄埔,科学城,待售,41000,4室,124.0,"大型社区, 近地铁, 地铁沿线, 大平层",600.0,10.621327345686446,6.396929655216146,4.820281565605037
珠江国际城,从化,神岗镇,在售,8500,4室,139.5,"低单价, 低总价, 车位充足, 绿化率高",196.5,9.047821442478408,5.280662431309316,4.93806460126142
富雅都市华庭,增城,新塘北,在售,15600,3室,77.0,"人车分流, 大型社区, 避暑, 儿童乐园",142.5,9.655026193237628,4.959341999708705,4.343805421853684
珠光山水御苑,从化,江浦街,在售,8000,4室,156.0,"低单价, 车位充足, 绿化率高, 健身跑道",175.0,8.987196820661973,5.1647859739235145,5.049856007249537
致岭假日花园,花都,狮岭镇,在售,13000,4室,102.5,"低单价, 低总价, 车位充足, 绿化率高",162.5,9.472704636443673,5.090678001769792,4.629862798578463
尚东阳光雅苑,增城,沙村,在售,14000,2室,96.0,"绿化率高, 人车分流, 品牌房企, 入户花园",125.0,9.546812608597396,4.8283137373023015,4.564348191467836
荔富湖畔,增城,朱村,在售,14000,4室,136.0,"车位充足, 绿化率高, 品牌房企, 入户花园",188.5,9.546812608597396,5.2390980068880655,4.912654885736052
南沙金茂湾,南沙,明珠湾,在售,16000,1室,184.0,"车位充足, 大型社区, 国央企, 品牌房企",455.0,9.680344001221918,6.12029741895095,5.214935757608986
湾际·滨江,南沙,进港大道,在售,26000,5室,130.5,"低总价, 人车分流, 大型社区, 品牌房企",265.0,10.165851817003619,5.579729825986222,4.871373226762748
海珠湖景峰,海珠,南洲,在售,45000,2室,101.0,"低总价, 车位充足, 绿化率高, 多轨交汇",340.0,10.714417768752456,5.8289456176102075,4.61512051684126
臻尚苑,番禺,广州南站,在售,28000,2室,107.0,"低单价, 低总价, 绿化率高, 人车分流",376.0,10.239959789157341,5.929589143389895,4.672828834461906
合汇·中央广场,增城,荔城中区,在售,21000,3室,126.0,"人车分流, 大型社区, 品牌房企, 入户花园",420.5,9.95227771670556,6.041444479413003,4.836281906951478
大城云山,从化,太平镇,在售,13000,3室,131.5,"绿化率高, 低密居所, 置换改善, 高品质小区",250.0,9.472704636443673,5.521460917862246,4.879006851617819
珠江源昌花园,南沙,横沥,在售,20000,4室,101.0,"低单价, 低总价, 绿化率高, 人车分流",242.5,9.903487552536127,5.491001710377538,4.61512051684126
惠百氏广场,增城,白江,在售,15000,2室,102.5,"人车分流, 大型社区, 自持商业, 近地铁",182.5,9.615805480084347,5.206750173022546,4.629862798578463
仁安花园,增城,朱村,在售,11000,2室,86.5,"低单价, 低总价, 绿化率高, 人车分流",105.0,9.305650551780507,4.653960350157523,4.460144413937834
紫泉流溪湾,从化,太平镇,在售,16000,4室,145.5,"车位充足, 绿化率高, 入户花园, 临近高速",195.0,9.680344001221918,5.272999558563747,4.980176086611547
中泰天境,黄埔,知识城,在售,23000,4室,130.0,"低单价, 低总价, 车位充足, 绿化率高",300.0,10.043249494911286,5.703782474656201,4.867534450455582
嘉御豪庭,增城,石滩镇,在售,12600,3室,100.0,"低单价, 人车分流, 大型社区, 儿童乐园",133.5,9.441452092939569,4.894101477840304,4.605170185988092
合景誉山国际,增城,永宁,在售,10000,3室,108.0,"低单价, 低总价, 绿化率高, 人车分流",80.0,9.210340371976184,4.382026634673881,4.68213122712422
凯德·中新里,黄埔,知识城,在售,21000,3室,108.0,"低单价, 低总价, 车位充足, 绿化率高",217.5,9.95227771670556,5.382198850528739,4.68213122712422
顺丰翠园,白云,石井,在售,25000,4室,126.0,"低单价, 低总价, 车位充足, 绿化率高",317.5,10.126631103850338,5.760477818332746,4.836281906951478
中海亚运城,番禺,亚运城,在售,25000,3室,168.5,"低单价, 低总价, 绿化率高, 人车分流",450.0,10.126631103850338,6.1092475827643655,5.126935749792416
华标峰湖御境,黄埔,科学城,在售,57000,7室,488.0,"车位充足, 低密居所, 置换改善, 养老舒适",2520.0,10.950806546816688,7.832014180505469,6.1903154058531475
南沙珠江湾,南沙,南沙湾,在售,9000,2室,67.0,"低单价, 低总价, 人车分流, 大型社区",67.5,9.104979856318357,4.212127597878484,4.204692619390966
尚上名筑,番禺,亚运城,在售,24000,2室,107.5,"低单价, 低总价, 绿化率高, 人车分流",285.0,10.085809109330082,5.652489180268651,4.677490847567717
金泽豪庭,增城,白江,在售,15200,4室,87.0,"人车分流, 大型社区, 近地铁, 地铁沿线",174.5,9.629050706834368,5.161924741642482,4.465908118654584
金融街花溪小镇,花都,花东镇,在售,10000,2室,101.5,"低单价, 低总价, 车位充足, 绿化率高",127.5,9.210340371976184,4.848116364598481,4.620058798481842
华海·悦湾,南沙,南沙港,在售,17500,2室,98.5,"低单价, 低总价, 车位充足, 人车分流",175.0,9.769956159911606,5.1647859739235145,4.590056548178043
越秀星汇海珠湾,海珠,工业大道中,在售,30000,4室,128.0,"绿化率高, 人车分流, 国央企, 品牌房企",525.0,10.308952660644293,6.263398262591624,4.852030263919617
金时花园,增城,荔城增江,在售,9300,3室,112.0,"低单价, 低总价, 车位充足, 人车分流",104.5,9.137769679141348,4.6491870714048655,4.718498871295094
石滩第一城,增城,石滩镇,在售,12000,3室,110.5,"低单价, 低总价, 车位充足, 人车分流",157.5,9.392661928770137,5.059425458265688,4.705015520957808
雅宝新城,花都,秀全街,在售,16800,3室,147.5,"低总价, 车位充足, 绿化率高, 水系园林",199.5,9.72913416539135,5.295814236329918,4.993828175779875
山璟轩,增城,新塘南,在售,19500,3室,74.5,"小型社区, 封闭管理, 地铁沿线, 公交直达",122.5,9.878169744551839,4.808111029984782,4.310799125385514
汇港威华雅苑,增城,朱村,在售,12000,3室,99.0,"低单价, 低总价, 车位充足, 人车分流",136.0,9.392661928770137,4.912654885736052,4.59511985013459
源海仙村一号,增城,石滩镇,在售,12500,2室,107.5,"低单价, 车位充足, 人车分流, 入户花园",175.0,9.433483923290392,5.1647859739235145,4.677490847567717
元邦山清水秀,花都,狮岭镇,在售,8500,4室,115.5,"低单价, 低总价, 绿化率高, 低密居所",119.5,9.047821442478408,4.783316371371566,4.749270529961848
三江盛汇,增城,石滩镇,待售,12000,4室,127.5,"低单价, 绿化率高, 大三居, 现房",154.0,9.392661928770137,5.0369526024136295,4.848116364598481
合和新城,花都,镜湖大道,在售,19000,3室,141.0,"车位充足, 大型社区, 近地铁, 地铁沿线",318.5,9.852194258148577,5.763622475012218,4.948759890378168
南沙湾御苑,南沙,南沙港,在售,22000,4室,179.0,"低单价, 车位充足, 低密居所, 置换改善",600.0,9.998797732340453,6.396929655216146,5.187385805840755
叠溪花园,增城,朱村,在售,10500,3室,101.5,"低单价, 低总价, 车位充足, 人车分流",109.0,9.259130536145614,4.6913478822291435,4.620058798481842
大宏锦绣,南沙,南沙湾,在售,25000,4室,132.5,"车位充足, 人车分流, 自持商业, 近地铁",335.0,10.126631103850338,5.814130531825066,4.886582645426277
绿地珑玥府,增城,荔城增江,在售,17000,4室,118.0,"车位充足, 人车分流, 国央企, 品牌房企",209.0,9.740968623038354,5.342334251964811,4.770684624465665
中交汇通中心,南沙,明珠湾,在售,38000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",400.0,10.545341438708522,5.991464547107982,4.68213122712422
合生湖山国际,增城,凤凰城,在售,16000,3室,107.5,"大型社区, 封闭管理, 品牌房企, 儿童乐园",178.5,9.680344001221918,5.184588601219693,4.677490847567717
嘉东广场,从化,旺城片区,在售,12000,2室,104.0,"绿化率高, 人车分流, 儿童乐园, 公交直达",125.5,9.392661928770137,4.832305758571839,4.6443908991413725
合景誉山国际,增城,永宁,在售,8500,2室,40.5,"绿化率高, 人车分流, 品牌房企, 健身跑道",43.0,9.047821442478408,3.7612001156935624,3.7013019741124933
都湖国际,花都,旧区,在售,28000,4室,164.5,"车位充足, 绿化率高, 品牌房企, 地铁沿线",679.0,10.239959789157341,6.520621127558696,5.1029105702054265
东江逸珑湾,增城,新塘南,在售,21000,4室,125.5,"人车分流, 大型社区, 品牌房企, 贴心物业",305.0,9.95227771670556,5.720311776607412,4.832305758571839
敏捷尚品国际,南沙,进港大道,在售,9000,2室,75.0,"低单价, 低总价, 大型社区, 品牌房企",57.0,9.104979856318357,4.04305126783455,4.31748811353631
珠江花城,天河,黄村,在售,50000,4室,108.0,"绿化率高, 人车分流, 国央企, 品牌房企",650.0,10.819778284410283,6.476972362889683,4.68213122712422
保利金沙大都汇,白云,金沙洲,在售,60000,4室,108.0,"低总价, 车位充足, 人车分流, 国央企",700.0,11.002099841204238,6.551080335043404,4.68213122712422
花悦台,花都,狮岭镇,在售,9000,3室,88.0,"低单价, 低总价, 人车分流, 小型社区",80.5,9.104979856318357,4.388257184424518,4.477336814478207
星图TOD,增城,新塘北,在售,21000,2室,106.5,"车位充足, 人车分流, 国央企, 品牌房企",306.0,9.95227771670556,5.723585101952381,4.66814498514948
中洲公馆,番禺,市桥,在售,35000,4室,63.0,"车位充足, 绿化率高, 品牌房企, 贴心物业",147.0,10.46310334047155,4.990432586778736,4.143134726391533
美的云筑,南沙,鱼窝头,在售,21000,4室,105.0,"低单价, 低总价, 车位充足, 绿化率高",230.0,9.95227771670556,5.438079308923196,4.653960350157523
祈福万景峰,花都,铁路西,在售,15900,3室,101.5,"低总价, 人车分流, 大型社区, 贴心物业",141.5,9.674074388208323,4.952299717083292,4.620058798481842
侨建御溪谷北区,增城,中新镇,在售,21500,4室,285.0,"车位充足, 绿化率高, 置换改善, 近地铁",613.0,9.975808214115753,6.418364935936212,5.652489180268651
天睿,番禺,会江,在售,22000,3室,114.0,"绿化率高, 人车分流, 置换改善, 贴心物业",702.5,9.998797732340453,6.5546454012079005,4.736198448394496
珠江铂世湾,番禺,雅居乐,在售,38000,4室,121.5,"特价好房, 低总价, 车位充足, 绿化率高",440.0,10.545341438708522,6.0867747269123065,4.799914262780603
汇金国际金融中心,天河,金融城,在售,43000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",800.0,10.668955394675699,6.684611727667927,4.68213122712422
汇金国际金融中心,天河,金融城,在售,43000,4室,108.0,"车位充足, 大型社区, 国央企, 品牌房企",800.0,10.668955394675699,6.684611727667927,4.68213122712422
保利金沙大都汇,白云,金沙洲,在售,20000,2室,36.0,"人车分流, 大型社区, 国央企, 品牌房企",110.5,9.903487552536127,4.705015520957808,3.58351893845611
中交汇通中心,南沙,明珠湾,在售,22000,1室,75.5,"低总价, 人车分流, 大型社区, 国央企",135.5,9.998797732340453,4.908971640319756,4.324132656254979
香江天赋,增城,凤凰城,在售,27000,4室,146.0,"车位充足, 人车分流, 品牌房企, 健身跑道",280.0,10.203592144986466,5.634789603169249,4.983606621708336
广州钢铁博汇,黄埔,开发西区,待售,32000,4室,108.0,"大型社区, 国央企, 品牌房企, 公交直达",345.0,10.373491181781864,5.84354441703136,4.68213122712422
建发央玺,白云,石井,在售,40000,5室,147.0,"车位充足, 人车分流, 国央企, 品牌房企",800.0,10.596634733096073,6.684611727667927,4.990432586778736
首创碧桂园悦山府,增城,荔城增江,在售,11000,4室,105.5,"低单价, 低总价, 车位充足, 绿化率高",122.5,9.305650551780507,4.808111029984782,4.658710952916121
沁园,黄埔,香雪,在售,57000,6室,268.5,"车位充足, 绿化率高, 置换改善, 休闲会所",1650.0,10.950806546816688,7.408530566894626,5.5928509139489195
仟信广场,从化,河滨北路,在售,12500,3室,129.0,"车位充足, 绿化率高, 儿童乐园, 近地铁",195.0,9.433483923290392,5.272999558563747,4.859812404361672
中冶·逸璟台,黄埔,科学城,在售,50000,4室,154.0,"车位充足, 绿化率高, 国央企, 品牌房企",752.5,10.819778284410283,6.6234009966230305,5.0369526024136295
康大龙祥汇,黄埔,知识城,在售,40000,3室,140.0,"车位充足, 绿化率高, 国央企, 置换改善",465.0,10.596634733096073,6.142037405587356,4.941642422609304
保利时代,从化,江浦街,在售,12500,2室,87.0,"低总价, 车位充足, 绿化率高, 国央企",123.0,9.433483923290392,4.812184355372417,4.465908118654584
中国中铁·诺德名著,增城,荔城西区,在售,18000,4室,113.0,"车位充足, 人车分流, 国央企, 品牌房企",200.0,9.798127036878302,5.298317366548036,4.727387818712341
岭南V谷,荔湾,菊树,在售,20000,4室,108.0,"人车分流, 大型社区, 国央企, 品牌房企",150.0,9.903487552536127,5.0106352940962555,4.68213122712422
岭南V谷,荔湾,菊树,在售,21000,2室,50.0,"低单价, 低总价, 绿化率高, 人车分流",110.0,9.95227771670556,4.700480365792417,3.912023005428146
百花山庄,增城,荔城西区,在售,18000,4室,175.0,"车位充足, 绿化率高, 置换改善, 私属庭院",315.0,9.798127036878302,5.752572638825633,5.1647859739235145
保利中海金地·大国璟,增城,荔城西区,在售,13000,4室,98.5,"低单价, 低总价, 车位充足, 大型社区",165.0,9.472704636443673,5.10594547390058,4.590056548178043
时代绿庭山语,南沙,大岗镇,待售,21000,2室,81.5,"低单价, 低总价, 绿化率高, 人车分流",227.5,9.95227771670556,5.427150238391005,4.400603020246817
广地花园,番禺,星河湾,在售,27000,3室,120.5,"低单价, 低总价, 车位充足, 低密居所",405.0,10.203592144986466,6.003887067106539,4.791649752930709
天健云山府,白云,白云大道南,在售,60000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",350.0,11.002099841204238,5.857933154483459,4.68213122712422
越秀星汇海珠湾204地块滨水独栋商业,海珠,工业大道中,在售,62000,4室,108.0,"大型社区, 国央企, 品牌房企, 近地铁",4050.0,11.03488966402723,8.306472160100585,4.68213122712422
星悦轩,白云,马务,在售,31000,3室,92.0,"低总价, 车位充足, 人车分流, 地铁沿线",322.0,10.341742483467284,5.7745515455444085,4.5217885770490405
中海熙园,南沙,东涌,在售,48000,4室,109.5,"绿化率高, 低密居所, 国央企, 置换改善",640.0,10.778956289890028,6.461468176353717,4.695924549256556
保利国际金融中心（花都）,花都,花城街,在售,18000,1室,347.0,"车位充足, 人车分流, 国央企, 品牌房企",625.0,9.798127036878302,6.437751649736401,5.849324779946859
华润置地润悦,增城,荔城西区,在售,12500,4室,110.0,"低单价, 低总价, 车位充足, 人车分流",192.5,9.433483923290392,5.260096153727839,4.700480365792417
广州敏捷绿湖首府,增城,石滩镇,在售,25000,1室,338.0,"人车分流, 大型社区, 品牌房企, 健身跑道",400.0,10.126631103850338,5.991464547107982,5.823045895483019
时代绿庭山语,南沙,大岗镇,待售,25000,4室,108.0,"车位充足, 人车分流, 品牌房企, 健身跑道",200.0,10.126631103850338,5.298317366548036,4.68213122712422
源海仙村一号,增城,石滩镇,在售,20000,4室,108.0,"车位充足, 人车分流, 水系园林, 公交直达",280.0,9.903487552536127,5.634789603169249,4.68213122712422
阳光城兰园翡澜花园,花都,新区,在售,21000,4室,106.0,"车位充足, 绿化率高, 品牌房企, 近地铁",250.0,9.95227771670556,5.521460917862246,4.663439094112067
金时花园,增城,荔城增江,在售,14000,1室,103.5,"车位充足, 人车分流, 品牌房企, 入户花园",150.5,9.546812608597396,5.01396308418893,4.639571612705423
招商金茂保利和府,从化,旧城区,在售,13500,4室,94.0,"绿化率高, 人车分流, 国央企, 品牌房企",152.5,9.51044496442652,5.0271645960474665,4.543294782270004
合景朗云花园,白云,夏茅,在售,30000,4室,106.0,"低单价, 低总价, 车位充足, 绿化率高",345.0,10.308952660644293,5.84354441703136,4.663439094112067
伟腾云星,白云,黄边,在售,38000,2室,106.0,"低总价, 车位充足, 绿化率高, 入户花园",410.0,10.545341438708522,6.016157159698354,4.663439094112067
得天和苑,增城,永宁,在售,12500,4室,104.5,"低单价, 低总价, 车位充足, 人车分流",135.0,9.433483923290392,4.90527477843843,4.6491870714048655
尊悦台,南沙,大岗镇,在售,14500,2室,102.5,"低单价, 低总价, 车位充足, 人车分流",135.0,9.581903928408666,4.90527477843843,4.629862798578463
颐德湾尚,南沙,明珠湾,在售,30000,4室,203.5,"车位充足, 绿化率高, 国央企, 品牌房企",585.0,10.308952660644293,6.371611847231857,5.31566600488265
嘉河湾8号,花都,铁路西,在售,13000,2室,122.5,"低单价, 低总价, 车位充足, 绿化率高",212.5,9.472704636443673,5.358941988364472,4.808111029984782
品秀·星瀚,番禺,广州南站,在售,31000,3室,94.0,"低总价, 车位充足, 人车分流, 国央企",340.0,10.341742483467284,5.8289456176102075,4.543294782270004
嘉华广场,花都,镜湖大道,在售,13000,1室,50.0,"车位充足, 人车分流, 近地铁, 地铁沿线",72.5,9.472704636443673,4.283586561860629,3.912023005428146
天马河·名荟,花都,铁路西,在售,14500,2室,63.0,"低单价, 低总价, 小型社区, 封闭管理",71.5,9.581903928408666,4.269697449699962,4.143134726391533
富城华庭,增城,荔城增江,在售,9500,3室,127.5,"低单价, 低总价, 车位充足, 人车分流",127.0,9.159047077588632,4.844187086458591,4.848116364598481
中铁诺德·阅泷,白云,江高镇,在售,18000,3室,104.0,"低单价, 低总价, 车位充足, 人车分流",196.0,9.798127036878302,5.278114659230517,4.6443908991413725
品实·云湖花城,白云,石井,在售,33000,4室,105.5,"低总价, 绿化率高, 人车分流, 国央企",346.0,10.404262840448617,5.846438775057725,4.658710952916121
港航中心,黄埔,鱼珠,在售,40000,2室,99.0,"绿化率高, 人车分流, 国央企, 品牌房企",445.5,10.596634733096073,6.099197246910864,4.59511985013459
时代印记,黄埔,知识城,在售,18000,4室,111.5,"低单价, 低总价, 绿化率高, 人车分流",200.0,9.798127036878302,5.298317366548036,4.7140245909001735
珠光金融城壹号,天河,东圃,在售,5000,4室,246.5,"低单价, 车位充足, 人车分流, 品牌房企",3850.0,8.517193191416238,8.25582842728183,5.5073619934827445
凯德凯荔花园,增城,荔城西区,在售,15500,4室,110.0,"车位充足, 人车分流, 品牌房企, 健身跑道",182.5,9.648595302907339,5.206750173022546,4.700480365792417
越秀逸泉锦翠,从化,江浦街,在售,9500,4室,81.5,"低单价, 低总价, 绿化率高, 人车分流",92.0,9.159047077588632,4.5217885770490405,4.400603020246817
中国铁建海语熙岸,南沙,南沙区府,在售,30000,4室,174.5,"车位充足, 绿化率高, 国央企, 品牌房企",499.0,10.308952660644293,6.212606095751519,5.161924741642482
富力新城,黄埔,开发东区,在售,25000,3室,96.5,"低单价, 低总价, 绿化率高, 人车分流",240.0,10.126631103850338,5.480638923341991,4.56954300834494
天河云商汇,天河,智慧城,在售,29000,2室,45.0,"低总价, 人车分流, 封闭管理, 自持商业",210.0,10.275051108968611,5.3471075307174685,3.8066624897703196
加富花园,番禺,石碁,在售,22000,2室,84.5,"低单价, 低总价, 低密居所, 人车分流",224.0,9.998797732340453,5.4116460518550396,4.436751534363128
龙光天瀛,番禺,市桥,在售,26000,3室,132.0,"低单价, 低总价, 车位充足, 绿化率高",569.0,10.165851817003619,6.343880434126331,4.882801922586371
远洋芙蓉墅,花都,狮岭镇,在售,10000,1室,104.0,"低单价, 低总价, 车位充足, 绿化率高",59.0,9.210340371976184,4.07753744390572,4.6443908991413725
天颐华府,番禺,市桥北,在售,65000,4室,262.0,"车位充足, 绿化率高, 养老舒适, 休闲会所",2000.0,11.082142548877775,7.600902459542082,5.568344503761097
广州院子,增城,荔城增江,在售,7800,4室,117.5,"低单价, 低总价, 车位充足, 人车分流",96.0,8.961879012677683,4.564348191467836,4.7664383335842135
时代倾城（中新）,增城,中新镇,在售,13000,3室,107.5,"低单价, 人车分流, 大型社区, 品牌房企",130.5,9.472704636443673,4.871373226762748,4.677490847567717
