标题,地区,位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
电建地产·洺悦玉府,番禺,市桥,在售,22000,4室,115.0,"低单价, 低总价, 车位充足, 人车分流",252.5,9.998797732340453,5.531411248715415,4.74493212836325
五矿壹云台,黄埔,科学城,在售,34000,4室,122.5,"车位充足, 绿化率高, 国央企, 品牌房企",460.0,10.4341158035983,6.131226489483141,4.808111029984782
广州万科城,增城,永宁,在售,10000,4室,89.0,"低单价, 低总价, 车位充足, 人车分流",104.5,9.210340371976184,4.6491870714048655,4.48863636973214
凯德山海连城二期,番禺,莲花山,在售,24000,4室,148.0,"低单价, 低总价, 车位充足, 绿化率高",657.5,10.085809109330082,6.48844476405192,4.997212273764115
星河东悦湾,南沙,黄阁,在售,32000,4室,146.5,"特价好房, 车位充足, 人车分流, 品牌房企",556.0,10.373491181781864,6.320768294250582,4.987025428457122
金湖花园,白云,沙太北,在售,45000,4室,120.5,"绿化率高, 低密居所, 置换改善, 养老舒适",555.0,10.714417768752456,6.318968113746434,4.791649752930709
合锦嘉泓·天宇花园,南沙,金洲,在售,17000,4室,152.5,"低单价, 低总价, 车位充足, 人车分流",210.0,9.740968623038354,5.3471075307174685,5.0271645960474665
中交汇通中心,南沙,明珠湾,在售,23000,4室,108.0,"人车分流, 大型社区, 国央企, 品牌房企",400.0,10.043249494911286,5.991464547107982,4.68213122712422
信达·珺悦蓝庭,花都,炭步,在售,11000,4室,95.5,"低单价, 低总价, 车位充足, 人车分流",99.0,9.305650551780507,4.59511985013459,4.5591262474866845
增城中国铁建国际公馆,增城,中新镇,在售,11500,4室,111.0,"低单价, 低总价, 车位充足, 人车分流",189.0,9.350102314351341,5.241747015059643,4.709530201312334
越秀华发·悦见星城,增城,中新镇,在售,7200,4室,89.5,"低单价, 低总价, 车位充足, 人车分流",70.5,8.881836305004146,4.255612709818223,4.4942386252808095
珠江·花屿花城,增城,永宁,在售,11000,4室,87.5,"低单价, 低总价, 车位充足, 人车分流",105.5,9.305650551780507,4.658710952916121,4.471638793363569
御溪世家,增城,中新镇,在售,13000,2室,86.0,"低单价, 低总价, 车位充足, 人车分流",100.0,9.472704636443673,4.605170185988092,4.454347296253507
兰亭香麓,增城,荔城富鹏,在售,11800,3室,99.5,"低单价, 低总价, 车位充足, 人车分流",140.0,9.375854810453756,4.941642422609304,4.600157644164547
东建·明德城,禅城,祖庙,在售,22500,4室,128.0,"佛山楼盘, 人车分流, 大型社区, 品牌房企",370.0,10.021270588192511,5.91350300563827,4.852030263919617
滨江金茂悦,南海,罗村,在售,11000,4室,115.5,"佛山楼盘, 特价好房, 低单价, 绿化率高",207.5,9.305650551780507,5.335131339670753,4.749270529961848
佳兆业·广雅院,南海,平洲,在售,20000,4室,104.5,"佛山楼盘, 人车分流, 大型社区, 品牌房企",240.0,9.903487552536127,5.480638923341991,4.6491870714048655
经纬凯旋世家,鹤山市,鹤山市,在售,6500,4室,115.0,"楼盘, 人车分流, 大型社区, 公交直达",81.5,8.779557455883728,4.400603020246817,4.74493212836325
轩隆雅园,三水,北江新区,在售,9800,2室,99.0,"佛山楼盘, 特价好房, 低总价, 人车分流",97.5,9.190137664658664,4.579852378003801,4.59511985013459
五矿万境水岸,顺德,大良新区,在售,18500,4室,167.5,"佛山楼盘, 车位充足, 绿化率高, 国央企",440.0,9.825526011066415,6.0867747269123065,5.120983351265121
保利中海金地·大国璟,增城,荔城西区,待售,22000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",100.0,9.998797732340453,4.605170185988092,4.68213122712422
卓越晴翠府,番禺,桥南,在售,28000,3室,103.0,"低单价, 低总价, 车位充足, 人车分流",292.5,10.239959789157341,5.678464666671911,4.634728988229636
保利锦绣公馆,白云,南湖,待售,21000,4室,41.5,"绿化率高, 人车分流, 国央企, 品牌房企",90.0,9.95227771670556,4.499809670330265,3.7256934272366524
招商电建南国·雍云邸,白云,石井,在售,25000,4室,83.5,"低单价, 绿化率高, 人车分流, 国央企",210.0,10.126631103850338,5.3471075307174685,4.42484663185681
耀胜新世界广场·耀胜尊府,番禺,汉溪长隆,在售,65000,4室,104.5,"特价好房, 车位充足, 人车分流, 品牌房企",615.0,11.082142548877775,6.421622267806518,4.6491870714048655
首铸·铂瑞云湾,番禺,石楼,在售,24000,4室,120.0,"低单价, 低总价, 车位充足, 绿化率高",345.0,10.085809109330082,5.84354441703136,4.787491742782046
越秀星耀TOD,增城,新塘北,在售,20000,4室,112.5,"车位充足, 人车分流, 近地铁, 地铁沿线",225.0,9.903487552536127,5.41610040220442,4.722953221644475
广州城投·禧悦府,增城,凤凰城,在售,21000,3室,117.5,"车位充足, 人车分流, 国央企, 品牌房企",337.5,9.95227771670556,5.821565510312585,4.7664383335842135
华润置地金沙瑞府,白云,金沙洲,在售,35000,4室,143.0,"绿化率高, 低密居所, 国央企, 置换改善",495.0,10.46310334047155,6.20455776256869,4.962844630259907
建发明珠湾玺,南沙,明珠湾,在售,31000,4室,115.0,"车位充足, 人车分流, 国央企, 品牌房企",450.0,10.341742483467284,6.1092475827643655,4.74493212836325
深业颐泽府,南沙,明珠湾,在售,37000,4室,180.0,"特价好房, 车位充足, 绿化率高, 国央企",670.0,10.51867319162636,6.507277712385012,5.19295685089021
华宇·锦绣云赋,从化,旧城区,在售,15000,4室,92.5,"绿化率高, 人车分流, 品牌房企, 水系园林",136.5,9.615805480084347,4.916324614625014,4.52720864451838
金地·云上,增城,中新镇,在售,11000,2室,82.0,"低单价, 低总价, 人车分流, 大型社区",112.5,9.305650551780507,4.722953221644475,4.406719247264253
悦辰壹号,黄埔,知识城,在售,24000,4室,128.5,"低单价, 低总价, 车位充足, 人车分流",255.0,10.085809109330082,5.541263545158426,4.855928904335275
国科众安江屿大观,番禺,市桥,在售,16800,3室,117.0,"车位充足, 人车分流, 品牌房企, 公交直达",332.5,9.72913416539135,5.806639860095909,4.762173934797756
振业学府里,增城,白江,在售,13500,4室,91.0,"低总价, 人车分流, 小型社区, 国央企",127.5,9.51044496442652,4.848116364598481,4.51085950651685
越秀联投知识城·居山涧,黄埔,知识城,在售,46000,4室,165.0,"绿化率高, 低密居所, 国央企, 置换改善",850.0,10.736396675471232,6.745236349484363,5.10594547390058
中洲紫轩,黄埔,鱼珠,在售,50000,4室,126.0,"车位充足, 人车分流, 品牌房企, 近地铁",685.0,10.819778284410283,6.529418838262226,4.836281906951478
万科黄埔新城,黄埔,南岗,在售,33000,4室,109.0,"低总价, 绿化率高, 人车分流, 国央企",367.5,10.404262840448617,5.906723318652891,4.6913478822291435
广州城投领南府,番禺,广州南站,在售,32000,2室,120.5,"低总价, 车位充足, 绿化率高, 国央企",402.0,10.373491181781864,5.996452088619021,4.791649752930709
云裳峯尚,白云,同和,在售,55000,4室,105.5,"车位充足, 人车分流, 品牌房企, 休闲会所",681.0,10.915088464214607,6.523562306149512,4.658710952916121
金科景业·雍景园,增城,中新镇,待售,24500,1室,61.0,"低总价, 车位充足, 人车分流, 品牌房企",97.5,10.106428396532818,4.579852378003801,4.110873864173311
保利天汇,天河,黄村,在售,55000,1室,112.0,"车位充足, 人车分流, 国央企, 品牌房企",616.0,10.915088464214607,6.423246963533519,4.718498871295094
越秀·大学·星汇城,番禺,国际创新城,在售,38000,4室,106.5,"低总价, 车位充足, 绿化率高, 国央企",437.5,10.545341438708522,6.081076705797669,4.66814498514948
保利珑悦,增城,永宁,在售,12000,2室,91.0,"低单价, 低总价, 车位充足, 人车分流",113.5,9.392661928770137,4.7318028369214575,4.51085950651685
飞晟汇,黄埔,香雪,在售,21800,3室,435.0,"车位充足, 近地铁, 地铁沿线, loft",1003.5,9.98966524877718,6.911249168236393,6.075346031088684
路劲星棠,增城,白江,在售,16000,3室,86.5,"车位充足, 人车分流, 品牌房企, 地铁沿线",139.0,9.680344001221918,4.9344739331306915,4.460144413937834
知识城投资嘉达·山与墅,黄埔,知识城,在售,45000,4室,170.5,"车位充足, 绿化率高, 国央企, 置换改善",750.0,10.714417768752456,6.620073206530356,5.1387352967235715
远洋天成,增城,新塘北,在售,16500,4室,88.0,"人车分流, 小型社区, 国央企, 地铁沿线",149.0,9.711115659888671,5.003946305945459,4.477336814478207
广晟中国铁建花语天珹,花都,花城街,在售,21000,3室,138.0,"车位充足, 绿化率高, 国央企, 品牌房企",320.0,9.95227771670556,5.768320995793772,4.927253685157205
金地商置都会峯范,花都,铁路西,在售,16500,2室,103.0,"低总价, 车位充足, 人车分流, 品牌房企",180.0,9.711115659888671,5.19295685089021,4.634728988229636
中建凤榕台,增城,朱村,在售,23000,4室,85.0,"人车分流, 大型社区, 国央企, 品牌房企",195.0,10.043249494911286,5.272999558563747,4.442651256490317
中铁建信达花语天宸,黄埔,科学城,在售,41000,4室,132.5,"车位充足, 人车分流, 国央企, 品牌房企",610.0,10.621327345686446,6.413458957167357,4.886582645426277
中盛顺和家园,增城,荔城增江,在售,12000,4室,113.0,"低单价, 低总价, 车位充足, 人车分流",160.0,9.392661928770137,5.075173815233827,4.727387818712341
中旅名门府,花都,镜湖大道,在售,18500,2室,98.0,"低总价, 车位充足, 绿化率高, 国央企",200.0,9.825526011066415,5.298317366548036,4.584967478670572
中海保利朗阅,荔湾,西朗,在售,50000,3室,140.0,"车位充足, 绿化率高, 国央企, 品牌房企",770.0,10.819778284410283,6.646390514847729,4.941642422609304
珠江未来城,番禺,莲花山,在售,11000,2室,52.0,"低单价, 低总价, 绿化率高, 人车分流",67.5,9.305650551780507,4.212127597878484,3.9512437185814275
星河畔月湾,南沙,横沥,在售,20000,4室,103.0,"低单价, 低总价, 车位充足, 绿化率高",210.0,9.903487552536127,5.3471075307174685,4.634728988229636
振业天成,黄埔,科学城,在售,39000,4室,136.0,"车位充足, 绿化率高, 国央企, 品牌房企",649.0,10.571316925111784,6.47543271670409,4.912654885736052
绿城桂语汀澜,南沙,明珠湾,在售,28000,4室,119.5,"车位充足, 绿化率高, 国央企, 品牌房企",333.0,10.239959789157341,5.808142489980444,4.783316371371566
招商湾区1872,南沙,东涌,在售,22000,4室,92.0,"低单价, 低总价, 车位充足, 人车分流",200.0,9.998797732340453,5.298317366548036,4.5217885770490405
海语天悦湾,南沙,明珠湾,在售,28000,2室,111.0,"车位充足, 绿化率高, 国央企, 品牌房企",345.0,10.239959789157341,5.84354441703136,4.709530201312334
国贸学原,增城,荔城西区,在售,12600,3室,102.0,"低单价, 低总价, 人车分流, 大型社区",134.0,9.441452092939569,4.897839799950911,4.624972813284271
公交珠实花城云著,白云,夏茅,在售,35000,4室,78.0,"低总价, 车位充足, 人车分流, 国央企",284.5,10.46310334047155,5.6507332535663855,4.356708826689592
中海江泰里,海珠,江燕路,在售,65000,4室,90.0,"绿化率高, 人车分流, 国央企, 品牌房企",625.0,11.082142548877775,6.437751649736401,4.499809670330265
保利水木芳华,增城,朱村,在售,12000,2室,85.0,"低单价, 低总价, 人车分流, 大型社区",132.0,9.392661928770137,4.882801922586371,4.442651256490317
保利领秀海,番禺,莲花山,在售,22000,4室,116.5,"低单价, 低总价, 绿化率高, 人车分流",300.0,9.998797732340453,5.703782474656201,4.757891273005756
云麓花城,白云,太和,在售,23000,4室,82.0,"低单价, 低总价, 车位充足, 人车分流",197.0,10.043249494911286,5.2832037287379885,4.406719247264253
电建都汇府,花都,新区,在售,36000,4室,155.0,"车位充足, 人车分流, 国央企, 品牌房企",580.0,10.491274217438248,6.363028103540465,5.043425116919247
金地公园名著,增城,永宁,在售,11000,2室,87.5,"低单价, 低总价, 车位充足, 人车分流",87.5,9.305650551780507,4.471638793363569,4.471638793363569
中洲紫轩,黄埔,鱼珠,待售,35000,4室,78.0,"低总价, 车位充足, 人车分流, 品牌房企",353.0,10.46310334047155,5.8664680569332965,4.356708826689592
广垦天河1号,天河,沙太南,在售,30000,2室,40.0,"低总价, 人车分流, 封闭管理, 国央企",122.0,10.308952660644293,4.804021044733257,3.6888794541139363
越秀星耀TOD,增城,新塘北,在售,16000,2室,50.5,"人车分流, 大型社区, 近地铁, 地铁沿线",81.0,9.680344001221918,4.394449154672439,3.9219733362813143
珠光海珠新城,海珠,南洲,在售,55000,4室,162.5,"车位充足, 绿化率高, 多轨交汇, 地铁沿线",1387.5,10.915088464214607,7.2352588456205895,5.090678001769792
龙狮璟珑府,黄埔,知识城,在售,23000,4室,129.5,"低单价, 低总价, 绿化率高, 低密居所",325.0,10.043249494911286,5.783825182329737,4.863680881139593
广州城投·空港1号,花都,镜湖大道,在售,20000,4室,95.5,"车位充足, 绿化率高, 国央企, 品牌房企",230.0,9.903487552536127,5.438079308923196,4.5591262474866845
珠江广钢花城,荔湾,东塱,在售,35000,4室,90.5,"低总价, 绿化率高, 国央企, 品牌房企",385.0,10.46310334047155,5.953243334287785,4.505349850705881
珠江·金瑶台,海珠,昌岗,在售,50000,2室,91.0,"特价好房, 绿化率高, 人车分流, 国央企",455.0,10.819778284410283,6.12029741895095,4.51085950651685
富好城繁华里,增城,新塘北,在售,12000,3室,93.0,"低单价, 低总价, 人车分流, 大型社区",115.0,9.392661928770137,4.74493212836325,4.532599493153256
天地源伴山溪谷,番禺,石楼,在售,22000,2室,93.0,"低单价, 低总价, 车位充足, 绿化率高",203.0,9.998797732340453,5.313205979041787,4.532599493153256
广开控股城投云锦,黄埔,长岭居,在售,45000,4室,155.0,"车位充足, 人车分流, 国央企, 品牌房企",710.0,10.714417768752456,6.565264970035361,5.043425116919247
御璟兰园,南沙,明珠湾,在售,30000,5室,111.5,"低总价, 车位充足, 人车分流, 国央企",445.0,10.308952660644293,6.09807428216624,4.7140245909001735
合生中央城（商业）,黄埔,香雪,在售,60000,1室,46.0,"人车分流, 大型社区, 休闲会所, 自持商业",240.0,11.002099841204238,5.480638923341991,3.828641396489095
星河江堤春晓,南沙,明珠湾,在售,33000,4室,116.0,"车位充足, 人车分流, 品牌房企, 自持商业",350.0,10.404262840448617,5.857933154483459,4.7535901911063645
科苑壹号,南沙,南沙湾,在售,24000,4室,145.5,"车位充足, 绿化率高, 国央企, 品牌房企",490.0,10.085809109330082,6.194405391104672,4.980176086611547
越秀江海潮鸣,南沙,明珠湾,在售,28000,2室,118.0,"车位充足, 人车分流, 国央企, 品牌房企",410.5,10.239959789157341,6.017375928892483,4.770684624465665
越秀大学城和樾府,番禺,国际创新城,在售,50000,4室,135.0,"特价好房, 车位充足, 绿化率高, 国央企",652.5,10.819778284410283,6.480811139196849,4.90527477843843
越秀白云星汇城,白云,钟落潭,在售,18000,4室,95.0,"低单价, 低总价, 绿化率高, 人车分流",228.0,9.798127036878302,5.429345628954441,4.553876891600541
力迅荔筑,荔湾,西场,在售,59000,4室,99.5,"人车分流, 小型社区, 品牌房企, 近地铁",605.0,10.985292722887856,6.405228458030842,4.600157644164547
保利越秀·天启,荔湾,鹤洞,在售,25000,2室,47.0,"低总价, 人车分流, 封闭管理, 国央企",130.0,10.126631103850338,4.867534450455582,3.8501476017100584
香江天辰,增城,凤凰城,在售,13000,4室,90.5,"低单价, 低总价, 车位充足, 封闭管理",135.0,9.472704636443673,4.90527477843843,4.505349850705881
保利明玥湖光,增城,增城碧桂园,在售,17000,2室,102.5,"车位充足, 人车分流, 国央企, 品牌房企",174.0,9.740968623038354,5.159055299214529,4.629862798578463
中铁阅江来,南沙,南沙区府,在售,17000,2室,107.0,"特价好房, 低单价, 人车分流, 封闭管理",245.0,9.740968623038354,5.501258210544727,4.672828834461906
中国铁建西派澜岸,南沙,明珠湾,在售,30000,3室,183.0,"绿色建筑, 车位充足, 国央企, 品牌房企",450.0,10.308952660644293,6.1092475827643655,5.209486152841421
云城上品,白云,嘉禾望岗,在售,37000,3室,88.5,"低总价, 车位充足, 绿化率高, 国央企",315.0,10.51867319162636,5.752572638825633,4.483002552013883
珠实云悦花语,白云,钟落潭,在售,15000,4室,84.0,"低单价, 低总价, 车位充足, 绿化率高",145.0,9.615805480084347,4.976733742420574,4.430816798843313
诚汇新都·榕诚湾,荔湾,汾水,在售,35000,4室,125.0,"低总价, 绿化率高, 人车分流, 品牌房企",670.0,10.46310334047155,6.507277712385012,4.8283137373023015
东江逸珑湾,增城,新塘南,在售,17000,4室,108.0,"低单价, 人车分流, 大型社区, 品牌房企",200.0,9.740968623038354,5.298317366548036,4.68213122712422
中海麓府,白云,江夏,在售,56000,4室,148.0,"车位充足, 人车分流, 国央企, 品牌房企",920.0,10.933106969717286,6.824373670043086,4.997212273764115
祈福半山臻品,番禺,祈福新村,在售,30000,3室,113.5,"低单价, 低总价, 车位充足, 绿化率高",363.5,10.308952660644293,5.895779296973574,4.7318028369214575
岭南V谷荔湾新天地,荔湾,广钢新城,在售,28000,3室,53.0,"低总价, 车位充足, 绿化率高, 国央企",180.0,10.239959789157341,5.19295685089021,3.970291913552122
越秀公交天悦云山府,白云,东平,在售,32000,4室,123.0,"低总价, 车位充足, 人车分流, 国央企",535.0,10.373491181781864,6.282266746896006,4.812184355372417
布查特官邸情景洋房,番禺,汉溪长隆,在售,28000,2室,85.5,"低单价, 低总价, 绿化率高, 低密居所",252.5,10.239959789157341,5.531411248715415,4.448516375942715
玖玥,花都,铁路西,在售,11800,3室,112.0,"低单价, 低总价, 车位充足, 绿化率高",145.5,9.375854810453756,4.980176086611547,4.718498871295094
保利锦上,黄埔,香雪,在售,29000,3室,105.0,"低总价, 车位充足, 绿化率高, 国央企",302.5,10.275051108968611,5.7120812774708964,4.653960350157523
大华城东瀚,增城,朱村,在售,13000,3室,80.5,"低单价, 低总价, 车位充足, 人车分流",125.0,9.472704636443673,4.8283137373023015,4.388257184424518
保利和悦滨江,荔湾,西朗,在售,45000,4室,90.5,"低总价, 绿化率高, 人车分流, 国央企",360.0,10.714417768752456,5.886104031450156,4.505349850705881
星河湾萝峰,黄埔,香雪,在售,38000,4室,197.5,"车位充足, 绿化率高, 品牌房企, 入户花园",1015.0,10.545341438708522,6.922643891475888,5.285738584341177
新鸿基地产峻銮,番禺,广州南站,在售,45000,4室,115.0,"车位充足, 绿化率高, 品牌房企, 近地铁",593.0,10.714417768752456,6.385194398997726,4.74493212836325
富丰华庭,增城,朱村,在售,13000,2室,103.5,"低单价, 低总价, 车位充足, 人车分流",134.0,9.472704636443673,4.897839799950911,4.639571612705423
长岭雅居,黄埔,长岭居,在售,46000,4室,175.0,"车位充足, 绿化率高, 国央企, 品牌房企",747.5,10.736396675471232,6.616734305264841,5.1647859739235145
珠实·嘉悦湾,白云,同德围,在售,38000,4室,100.5,"低总价, 车位充足, 人车分流, 国央企",385.0,10.545341438708522,5.953243334287785,4.61015772749913
星晴雅筑,番禺,市桥北,在售,31000,2室,91.0,"低总价, 人车分流, 小型社区, 地铁沿线",282.0,10.341742483467284,5.641907070938114,4.51085950651685
世纪金源天河源筑,天河,粤垦,在售,61888,4室,137.5,"车位充足, 绿化率高, 品牌房企, 地铁沿线",957.5,11.033081578812967,6.864325721054801,4.923623917106626
越秀滨海花城,南沙,南沙区府,在售,15000,3室,86.0,"低单价, 低总价, 车位充足, 人车分流",118.5,9.615805480084347,4.774912960575186,4.454347296253507
中国铁建翰林新语,增城,新塘北,在售,18000,2室,83.5,"车位充足, 人车分流, 国央企, 品牌房企",155.0,9.798127036878302,5.043425116919247,4.42484663185681
联投·文津府,天河,黄村,在售,58000,4室,138.0,"车位充足, 绿化率高, 国央企, 品牌房企",840.0,10.968198289528557,6.733401891837359,4.927253685157205
万科·理想花地·瑧园,荔湾,花地湾,在售,54000,4室,148.0,"车位充足, 人车分流, 国央企, 品牌房企",805.0,10.896739325546411,6.690842277418564,4.997212273764115
万科·理想花地·朗庭,荔湾,花地湾,在售,47000,2室,103.5,"人车分流, 封闭管理, 国央企, 品牌房企",480.0,10.757902880692196,6.173786103901937,4.639571612705423
智联花园,番禺,莲花山,在售,30000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",3000.0,10.308952660644293,8.006367567650246,4.68213122712422
仟信广场,从化,河滨北路,在售,8000,1室,51.0,"低单价, 低总价, 车位充足, 绿化率高",45.0,8.987196820661973,3.8066624897703196,3.9318256327243257
中建天河精诚壹号,天河,岑村,在售,52000,3室,98.0,"特价好房, 绿化率高, 人车分流, 国央企",570.0,10.858998997563564,6.345636360828596,4.584967478670572
中国铁建西派粤府,海珠,沥滘,在售,65000,4室,130.0,"车位充足, 绿化率高, 国央企, 品牌房企",990.0,11.082142548877775,6.897704943128636,4.867534450455582
云平上品,白云,东平,在售,55000,4室,150.0,"车位充足, 绿化率高, 国央企, 品牌房企",820.0,10.915088464214607,6.709304340258298,5.0106352940962555
越秀大学星汇锦城,番禺,南村,在售,30000,4室,98.0,"低单价, 低总价, 绿化率高, 人车分流",310.0,10.308952660644293,5.736572297479192,4.584967478670572
珠江国际城,从化,神岗镇,在售,19000,1室,39.5,"人车分流, 大型社区, 品牌房企, 近地铁",110.0,9.852194258148577,4.700480365792417,3.676300671907076
保利瑧誉,荔湾,坑口,在售,55000,4室,129.0,"绿化率高, 人车分流, 国央企, 品牌房企",735.0,10.915088464214607,6.5998704992128365,4.859812404361672
品秀·星瀚,番禺,广州南站,在售,30000,4室,108.0,"低总价, 车位充足, 人车分流, 国央企",80.0,10.308952660644293,4.382026634673881,4.68213122712422
龙湖御湖境,番禺,大石,在售,42000,4室,160.5,"车位充足, 绿化率高, 品牌房企, 地铁沿线",684.0,10.645424897265505,6.52795791762255,5.07829394257007
保利锦上,黄埔,香雪,在售,35000,4室,79.0,"车位充足, 人车分流, 国央企, 品牌房企",190.0,10.46310334047155,5.247024072160486,4.3694478524670215
上馨华府,番禺,大石,在售,28000,4室,108.0,"低单价, 低总价, 绿化率高, 低密居所",260.0,10.239959789157341,5.560681631015528,4.68213122712422
长隆万博悦府,番禺,汉溪长隆,在售,65000,4室,204.0,"特价好房, 车位充足, 绿化率高, 国央企",1465.0,11.082142548877775,7.289610521451167,5.318119993844216
东基天河阳光,天河,黄村,在售,38000,4室,108.0,"低总价, 人车分流, 小型社区, 品牌房企",120.0,10.545341438708522,4.787491742782046,4.68213122712422
江语上品苑,白云,石井,在售,45000,4室,222.0,"车位充足, 人车分流, 国央企, 品牌房企",1535.0,10.714417768752456,7.336285660021297,5.402677381872279
华润置地天河润府,天河,黄村,在售,60000,4室,105.5,"优惠楼盘, 车位充足, 绿化率高, 国央企",605.0,11.002099841204238,6.405228458030842,4.658710952916121
