字段1_文本,字段3,字段4,字段6,字段7_文本,字段8,字段9,字段10,字段11,字段13,字段14,字段15,字段16,字段17,字段18,字段19
港航中心,在售,黄埔,鱼珠,黄埔大道东983号,2室,3室,,建面 60-138㎡,绿化率高,人车分流,国央企,品牌房企,40000, 元/㎡(均价),总价270-621(万/套)
时代印记,在售,黄埔,知识城,广东省广州市黄埔区亨美西路,3室,4室,,建面 87-136㎡,低单价,低总价,绿化率高,人车分流,18000, 元/㎡(均价),总价155-245(万/套)
珠光金融城壹号,在售,天河,东圃,黄埔大道东724号,3室,4室,,建面 232-261㎡,低单价,车位充足,人车分流,品牌房企,5000, 元/㎡(均价),总价3700-4000(万/套)
凯德凯荔花园,在售,增城,荔城西区,明慧路3号,3室,4室,,建面 86-134㎡,车位充足,人车分流,品牌房企,健身跑道,15500, 元/㎡(均价),总价140-225(万/套)
越秀逸泉锦翠,在售,从化,江浦街,环市东路广外实验小学东侧,3室,4室,,建面 71-92㎡,低单价,低总价,绿化率高,人车分流,9500, 元/㎡(均价),总价79-105(万/套)
中国铁建海语熙岸,在售,南沙,南沙区府,广州市南沙区美心路中国铁建海语熙岸,3室,4室,5室,建面 89-260㎡,车位充足,绿化率高,国央企,品牌房企,30000, 元/㎡(均价),总价268-730(万/套)
富力新城,在售,黄埔,开发东区,黄埔区东鹏大道与宏明路交界处（富力新城销售中心）,2室,3室,4室,建面 73-120㎡,低单价,低总价,绿化率高,人车分流,25000, 元/㎡(均价),总价170-310(万/套)
天河云商汇,在售,天河,智慧城,华观路,1室,3室,,建面 32-58㎡,低总价,人车分流,封闭管理,自持商业,29000, 元/㎡(均价),总价160-260(万/套)
珠光云山壹号,在售,白云,同和,广州大道北云灏街157医院地块,4室,,,建面 215㎡,车位充足,绿化率高,置换改善,高品质小区,100000, 元/㎡(均价),总价1700(万/套)
加富花园,在售,番禺,石碁,莲塘路3号,2室,3室,,建面 51-118㎡,低单价,低总价,低密居所,人车分流,22000, 元/㎡(均价),总价189-259(万/套)
保利335金融中心,待售,增城,凤凰城,汽车城大道57号,,,,,车位充足,大型社区,国央企,品牌房企,价格待定,,
龙光天瀛,在售,番禺,市桥,景观大道东侧,2室,3室,4室,建面 89-175㎡,低单价,低总价,车位充足,绿化率高,26000, 元/㎡(均价),总价258-880(万/套)
远洋芙蓉墅,在售,花都,狮岭镇,狮岭镇芙蓉嶂度假区西南处,1室,,,建面 75-133㎡,低单价,低总价,车位充足,绿化率高,10000, 元/㎡(均价),总价59(万/套)
天颐华府,在售,番禺,市桥北,富怡路罗家村段6号,,,,建面 262㎡,车位充足,绿化率高,养老舒适,休闲会所,65000, 元/㎡(均价),总价2000(万/套)
广州院子,在售,增城,荔城增江,广州市增城区增江大埔围村张冚山顶,3室,4室,,建面 95-140㎡,低单价,低总价,车位充足,人车分流,7800, 元/㎡(均价),总价72-120(万/套)
时代倾城（中新）,在售,增城,中新镇,广州市增城区中新镇新墩路168号,3室,,,建面 85-130㎡,低单价,人车分流,大型社区,品牌房企,13000, 元/㎡(均价),总价105-156(万/套)
电建地产·洺悦玉府,待售,番禺,市桥,禺山西路与景观大道交汇处大夫山森林公园东南侧（番禺气象局旁）,,,,,人车分流,小型社区,国央企,品牌房企,价格待定,,
电建地产·洺悦玉府,在售,番禺,市桥,广州市番禺沙头街禺山大道南侧,3室,4室,,建面 105-125㎡,低单价,低总价,车位充足,人车分流,22000, 元/㎡(均价),总价230-275(万/套)
五矿壹云台,在售,黄埔,科学城,广州市黄埔区长岭居长岭路以北，领头新村以东,,,,建面 81-164㎡,车位充足,绿化率高,国央企,品牌房企,34000, 元/㎡(均价),总价460(万/套)
广州万科城,在售,增城,永宁,广州市增城区永宁街道新新4路5号,3室,4室,,建面 78-100㎡,低单价,低总价,车位充足,人车分流,10000, 元/㎡(均价),总价89-120(万/套)
雅居乐黄埔创新中心,待售,黄埔,黄埔区府,丰乐北路段与碧山村路交汇处,,,,,低总价,大型社区,品牌房企,贴心物业,价格待定,,
雅居乐黄埔创新中心,待售,黄埔,黄埔区府,丰乐北路段与碧山村路交汇处,,,,,低总价,大型社区,品牌房企,贴心物业,价格待定,,
凯德山海连城二期,在售,番禺,莲花山,利丰大道连海路39号,3室,4室,,建面 85-211㎡,低单价,低总价,车位充足,绿化率高,24000, 元/㎡(均价),总价215-1100(万/套)
中交蓝色海湾,待售,南沙,南沙港,港前大道南沙客运港对面,,,,,车位充足,大型社区,国央企,品牌房企,价格待定,,
星河东悦湾,在售,南沙,黄阁,广东省广州市南沙区市南大道,3室,4室,,建面 86-207㎡,特价好房,车位充足,人车分流,品牌房企,32000, 元/㎡(均价),总价282-830(万/套)
金湖花园,在售,白云,沙太北,广东省广州市白云区沙太北路938号金湖花园会所,3室,4室,5室,建面 98-143㎡,绿化率高,低密居所,置换改善,养老舒适,45000, 元/㎡(均价),总价420-690(万/套)
合锦嘉泓·天宇花园,在售,南沙,金洲,广州市南沙区金岭北路东侧金岭北路7号,3室,4室,,建面 90-215㎡,低单价,低总价,车位充足,人车分流,17000, 元/㎡(均价),总价180-240(万/套)
中交汇通中心,在售,南沙,明珠湾,江灵北路和纵三路交汇处,,,,,人车分流,大型社区,国央企,品牌房企,23000, 元/㎡(均价),总价400(万/套)
龙门苑,待售,花都,新区,三东大道北石岗1-3号,,,,,车位充足,绿化率高,养老舒适,地铁沿线,价格待定,,
信达·珺悦蓝庭,在售,花都,炭步,炭步镇花都大道巴江明珠公园旁,3室,4室,,建面 78-113㎡,低单价,低总价,车位充足,人车分流,11000, 元/㎡(均价),总价78-120(万/套)
信达珺悦蓝庭,待售,花都,炭步,炭步镇花都大道以东地块（原炭步广场）,,,,,大型社区,国央企,品牌房企,公交直达,价格待定,,
增城中国铁建国际公馆,在售,增城,中新镇,地铁21号线坑贝站西侧1.2公里,4室,,,建面 104-118㎡,低单价,低总价,车位充足,人车分流,11500, 元/㎡(均价),总价178-200(万/套)
朗信国际,待售,番禺,桥南,番禺大道北1686号,,,,,人车分流,封闭管理,贴心物业,公交直达,价格待定,,
中冶逸璟广场,待售,海珠,江燕路,燕翔路和江燕路交界处（万宝大厦旁）,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
越秀华发·悦见星城,在售,增城,中新镇,中新镇福中路16号,3室,4室,,建面 78-101㎡,低单价,低总价,车位充足,人车分流,7200, 元/㎡(均价),总价65-76(万/套)
珠江·花屿花城,在售,增城,永宁,新新大道中塔岗路段,4室,,,建面 79-96㎡,低单价,低总价,车位充足,人车分流,11000, 元/㎡(均价),总价84-127(万/套)
御溪世家,在售,增城,中新镇,中新镇G324（福昆线）旁,2室,3室,,建面 61-111㎡,低单价,低总价,车位充足,人车分流,13000, 元/㎡(均价),总价80-120(万/套)
兰亭香麓,在售,增城,荔城富鹏,荔景大道与增派公路交汇处（挂绿小学斜对面）,3室,,,建面 88-111㎡,低单价,低总价,车位充足,人车分流,11800, 元/㎡(均价),总价130-150(万/套)
东建·明德城,在售,禅城,祖庙,广东省佛山市禅城区工业大道22号,3室,4室,,建面 90-166㎡,佛山楼盘,人车分流,大型社区,品牌房企,22500, 元/㎡(均价),总价200-540(万/套)
滨江金茂悦,在售,南海,罗村,南海区狮山镇罗村朗沙大道下罗沙旁,4室,,,建面 88-143㎡,佛山楼盘,特价好房,低单价,绿化率高,11000, 元/㎡(均价),总价135-280(万/套)
佳兆业·广雅院,在售,南海,平洲,夏平路佳兆业·广雅院,3室,4室,,建面 83-126㎡,佛山楼盘,人车分流,大型社区,品牌房企,20000, 元/㎡(均价),总价160-320(万/套)
经纬凯旋世家,在售,鹤山市,鹤山市,广东省江门市鹤山市鹤山大道辅路,3室,4室,,建面 96-134㎡,楼盘,人车分流,大型社区,公交直达,6500, 元/㎡(均价),总价63-100(万/套)
轩隆雅园,在售,三水,北江新区,广东省佛山市三水区建设大道12号,2室,3室,,建面 88-110㎡,佛山楼盘,特价好房,低总价,人车分流,9800, 元/㎡(均价),总价80-115(万/套)
五矿万境水岸,在售,顺德,大良新区,广东省佛山市顺德区乔岸路和环湖路交叉口,3室,4室,,建面 72-263㎡,佛山楼盘,车位充足,绿化率高,国央企,18500, 元/㎡(均价),总价200-680(万/套)
保利中海金地·大国璟,待售,增城,荔城西区,广汕公路保利中海金地·大国璟增城大道471号,,,,,车位充足,人车分流,国央企,品牌房企,22000, 元/㎡(均价),总价100(万/套)
卓越晴翠府,在售,番禺,桥南,广州市番禺区桥南联兴路28号,2室,3室,4室,建面 76-130㎡,低单价,低总价,车位充足,人车分流,28000, 元/㎡(均价),总价200-385(万/套)
保利锦绣公馆,待售,白云,南湖,大源南路84号,,,,建面 33-50㎡,绿化率高,人车分流,国央企,品牌房企,21000, 元/㎡(均价),总价70-110(万/套)
招商电建南国·雍云邸,在售,白云,石井,广东省广州市白云区石沙路石井工业区八横路,3室,4室,,建面 78-89㎡,低单价,绿化率高,人车分流,国央企,25000, 元/㎡(均价),总价200-220(万/套)
耀胜新世界广场·耀胜尊府,在售,番禺,汉溪长隆,汉兴西路耀胜新世界广场,3室,4室,5室,建面 77-132㎡,特价好房,车位充足,人车分流,品牌房企,65000, 元/㎡(均价),总价500-730(万/套)
徐福上坤云境风华,待售,增城,朱村,朱村大道中徐福上坤云境风华,,,,,车位充足,人车分流,品牌房企,近地铁,价格待定,,
广州幸福湾,在售,荔湾,东塱,汇盛路广州幸福湾,4室,5室,,建面 255-285㎡,车位充足,绿化率高,地铁沿线,大平层,80000, 元/㎡(均价),总价2250-2650(万/套)
首铸·铂瑞云湾,在售,番禺,石楼,莲港大道与庄园路交汇,3室,4室,,建面 86-154㎡,低单价,低总价,车位充足,绿化率高,24000, 元/㎡(均价),总价200-490(万/套)
越秀星耀TOD,在售,增城,新塘北,环城路越秀·星耀TOD,3室,4室,,建面 100-125㎡,车位充足,人车分流,近地铁,地铁沿线,20000, 元/㎡(均价),总价200-250(万/套)
广州城投·禧悦府,在售,增城,凤凰城,汽车城大道广州城投禧悦府,2室,3室,4室,建面 89-146㎡,车位充足,人车分流,国央企,品牌房企,21000, 元/㎡(均价),总价265-410(万/套)
华润置地金沙瑞府,在售,白云,金沙洲,广州市白云区金沙洲浔峰山东路西北侧,4室,,,建面 143㎡,绿化率高,低密居所,国央企,置换改善,35000, 元/㎡(均价),总价495(万/套)
建发明珠湾玺,在售,南沙,明珠湾,凤凰大道凤凰二桥地铁18号线横沥站旁约250米处,4室,,,建面 88-142㎡,车位充足,人车分流,国央企,品牌房企,31000, 元/㎡(均价),总价370-530(万/套)
深业颐泽府,在售,南沙,明珠湾,凤凰大道深业颐泽府,4室,5室,,建面 103-257㎡,特价好房,车位充足,绿化率高,国央企,37000, 元/㎡(均价),总价340-1000(万/套)
华宇·锦绣云赋,在售,从化,旧城区,从城大道华宇·锦绣云赋,3室,4室,,建面 76-109㎡,绿化率高,人车分流,品牌房企,水系园林,15000, 元/㎡(均价),总价108-165(万/套)
金地景业格林水岸,待售,增城,中新镇,新新大道北金地景业格林水岸,,,,,车位充足,人车分流,品牌房企,公交直达,价格待定,,
金地·云上,在售,增城,中新镇,广东省广州市增城区S118(新新大道北),2室,,,建面 60-104㎡,低单价,低总价,人车分流,大型社区,11000, 元/㎡(均价),总价80-145(万/套)
悦辰壹号,在售,黄埔,知识城,广东省广州市黄埔区Y079,3室,4室,,建面 89-168㎡,低单价,低总价,车位充足,人车分流,24000, 元/㎡(均价),总价190-320(万/套)
国科众安江屿大观,在售,番禺,市桥,广东省广州市番禺区 沙堤路600号,2室,3室,4室,建面 39-195㎡,车位充足,人车分流,品牌房企,公交直达,16800, 元/㎡(均价),总价65-600(万/套)
振业学府里,在售,增城,白江,南顺石场路13号,3室,4室,,建面 75-107㎡,低总价,人车分流,小型社区,国央企,13500, 元/㎡(均价),总价100-155(万/套)
珠江博悦庭,待售,增城,增城碧桂园,新城大道珠江博悦庭,,,,,人车分流,大型社区,品牌房企,小户型,价格待定,,
越秀联投知识城·居山涧,在售,黄埔,知识城,广州黄埔知识城凤凰湖旁,4室,,,建面 140-190㎡,绿化率高,低密居所,国央企,置换改善,46000, 元/㎡(均价),总价650-1050(万/套)
中洲紫轩,在售,黄埔,鱼珠,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,3室,4室,5室,建面 83-169㎡,车位充足,人车分流,品牌房企,近地铁,50000, 元/㎡(均价),总价420-950(万/套)
万科黄埔新城,在售,黄埔,南岗,南岗街沙步大路2号,3室,4室,,建面 75-143㎡,低总价,绿化率高,人车分流,国央企,33000, 元/㎡(均价),总价235-500(万/套)
广州城投领南府,在售,番禺,广州南站,石洲中路广州城投领南府,2室,3室,,建面 98-143㎡,低总价,车位充足,绿化率高,国央企,32000, 元/㎡(均价),总价294-510(万/套)
云裳峯尚,在售,白云,同和,白云区白水塘文明路1号,3室,4室,,建面 78-133㎡,车位充足,人车分流,品牌房企,休闲会所,55000, 元/㎡(均价),总价562-800(万/套)
侨鑫保利汇景台,在售,天河,汇景新城,科韵北路23号,4室,5室,,建面 173-290㎡,车位充足,绿化率高,置换改善,高品质小区,136000, 元/㎡(均价),总价2400-4060(万/套)
金科景业·雍景园,待售,增城,中新镇,坑贝地铁站B口东100米,1室,,,建面 36-86㎡,低总价,车位充足,人车分流,品牌房企,24500, 元/㎡(均价),总价70-125(万/套)
保利天汇,在售,天河,黄村,大观中路保利天汇,1室,,,建面 112㎡,车位充足,人车分流,国央企,品牌房企,55000, 元/㎡(均价),总价616(万/套)
越秀·大学·星汇城,在售,番禺,国际创新城,广州市番禺区新造镇曾边大街66号,3室,4室,5室,建面 88-125㎡,低总价,车位充足,绿化率高,国央企,38000, 元/㎡(均价),总价325-550(万/套)
保利珑悦,在售,增城,永宁,广州市增城区创业大道,2室,3室,,建面 77-105㎡,低单价,低总价,车位充足,人车分流,12000, 元/㎡(均价),总价85-142(万/套)
飞晟汇,在售,黄埔,香雪,广州市黄埔区科学城开创大道彩文路166号,1室,4室,5室,建面 120-750㎡,车位充足,近地铁,地铁沿线,loft,21800, 元/㎡(均价),总价185-1822(万/套)
路劲星棠,在售,增城,白江,东洲大道路劲星棠,2室,4室,,建面 78-95㎡,车位充足,人车分流,品牌房企,地铁沿线,16000, 元/㎡(均价),总价128-150(万/套)
知识城投资嘉达·山与墅,在售,黄埔,知识城,广东省广州市黄埔区Y079与长庚北街交叉路口往西约200米,3室,4室,,建面 166-175㎡,车位充足,绿化率高,国央企,置换改善,45000, 元/㎡(均价),总价600-900(万/套)
远洋天成,在售,增城,新塘北,广东省广州市增城区石新路,3室,4室,,建面 69-107㎡,人车分流,小型社区,国央企,地铁沿线,16500, 元/㎡(均价),总价118-180(万/套)
广晟中国铁建花语天珹,在售,花都,花城街,黄槐路广晟中铁建花语天珹,2室,3室,4室,建面 88-188㎡,车位充足,绿化率高,国央企,品牌房企,21000, 元/㎡(均价),总价160-480(万/套)
金地商置都会峯范,在售,花都,铁路西,新街大道100号,2室,3室,,建面 81-125㎡,低总价,车位充足,人车分流,品牌房企,16500, 元/㎡(均价),总价130-230(万/套)
中建凤榕台,在售,增城,朱村,广东省广州市增城区福昆线辅路,3室,4室,,建面 67-103㎡,人车分流,大型社区,国央企,品牌房企,23000, 元/㎡(均价),总价154-236(万/套)
中铁建信达花语天宸,在售,黄埔,科学城,广汕公路与班岭路交叉西南420米,3室,4室,,建面 97-168㎡,车位充足,人车分流,国央企,品牌房企,41000, 元/㎡(均价),总价420-800(万/套)
中盛顺和家园,在售,增城,荔城增江,广汕公路中盛顺和家园,3室,4室,,建面 83-143㎡,低单价,低总价,车位充足,人车分流,12000, 元/㎡(均价),总价115-205(万/套)
中旅名门府,在售,花都,镜湖大道,G107中旅名门府,2室,3室,,建面 80-116㎡,低总价,车位充足,绿化率高,国央企,18500, 元/㎡(均价),总价150-250(万/套)
方圆滨江壹号,在售,海珠,客村,海珠区艺景路与友邻三路交叉口南120米,3室,4室,,建面 90-132㎡,绿化率高,人车分流,品牌房企,近地铁,90000, 元/㎡(均价),总价700-1580(万/套)
翰盛府,在售,番禺,汉溪长隆,汉兴西路锦绣香江拾光盛境,3室,4室,,建面 78-215㎡,绿化率高,低密居所,置换改善,高品质小区,80000, 元/㎡(均价),总价430-1700(万/套)
中海保利朗阅,在售,荔湾,西朗,广东省广州市荔湾区,2室,3室,4室,建面 98-182㎡,车位充足,绿化率高,国央企,品牌房企,50000, 元/㎡(均价),总价490-1050(万/套)
珠江未来城,在售,番禺,莲花山,广东省广州市番禺区石楼镇胜洲村龙启路80号,1室,2室,,建面 36-68㎡,低单价,低总价,绿化率高,人车分流,11000, 元/㎡(均价),总价40-95(万/套)
星河畔月湾,在售,南沙,横沥,新广一路星河畔月湾,3室,4室,,建面 80-126㎡,低单价,低总价,车位充足,绿化率高,20000, 元/㎡(均价),总价160-260(万/套)
振业天成,在售,黄埔,科学城,广州市黄埔区联和街黄陂四路,4室,,,建面 104-168㎡,车位充足,绿化率高,国央企,品牌房企,39000, 元/㎡(均价),总价498-800(万/套)
绿城桂语汀澜,在售,南沙,明珠湾,广州市南沙区横沥镇沥岛三多涌以东、义沙路以西、横沥大道东以南,4室,,,建面 99-140㎡,车位充足,绿化率高,国央企,品牌房企,28000, 元/㎡(均价),总价260-406(万/套)
琶洲南TOD,在售,海珠,赤岗,广东省广州市海珠区,3室,4室,5室,建面 142-276㎡,车位充足,人车分流,国央企,品牌房企,125000, 元/㎡(均价),总价2500-3500(万/套)
招商湾区1872,在售,南沙,东涌,南沙庆盛港科大广州校区旁,3室,4室,,建面 79-105㎡,低单价,低总价,车位充足,人车分流,22000, 元/㎡(均价),总价170-230(万/套)
海语天悦湾,在售,南沙,明珠湾,凤凰大道越秀中国铁建南投海语天悦湾,2室,3室,,建面 80-142㎡,车位充足,绿化率高,国央企,品牌房企,28000, 元/㎡(均价),总价230-460(万/套)
国贸学原,在售,增城,荔城西区,广汕公路国贸学原,2室,3室,4室,建面 76-128㎡,低单价,低总价,人车分流,大型社区,12600, 元/㎡(均价),总价88-180(万/套)
星河江缦,在售,荔湾,滘口,广东省广州市荔湾区滘口大街与鹅潭路交叉口西北,4室,,,建面 179-235㎡,车位充足,绿化率高,品牌房企,近地铁,70000, 元/㎡(均价),总价900-2000(万/套)
公交珠实花城云著,在售,白云,夏茅,广花一路公交珠实花城云著,3室,4室,,建面 69-87㎡,低总价,车位充足,人车分流,国央企,35000, 元/㎡(均价),总价249-320(万/套)
中海江泰里,在售,海珠,江燕路,海珠区凤阳街江泰路36号,3室,4室,,建面 75-105㎡,绿化率高,人车分流,国央企,品牌房企,65000, 元/㎡(均价),总价520-730(万/套)
保利水木芳华,在售,增城,朱村,朱村大道西保利水木芳华,1室,2室,,建面 67-103㎡,低单价,低总价,人车分流,大型社区,12000, 元/㎡(均价),总价100-164(万/套)
保利领秀海,在售,番禺,莲花山,广州市番禺区石楼镇鲤鱼岗9号名人山庄,3室,4室,,建面 63-170㎡,低单价,低总价,绿化率高,人车分流,22000, 元/㎡(均价),总价120-480(万/套)
云麓花城,在售,白云,太和,白云城投云麓花城，太和镇沙亭北路南侧地块,3室,4室,,建面 67-97㎡,低单价,低总价,车位充足,人车分流,23000, 元/㎡(均价),总价154-240(万/套)
电建都汇府,在售,花都,新区,广东省广州市花都区迎宾大道,3室,4室,,建面 120-190㎡,车位充足,人车分流,国央企,品牌房企,36000, 元/㎡(均价),总价430-730(万/套)
金地公园名著,在售,增城,永宁,广东省广州市增城区新新公路与创盈路交叉口西南140米,2室,3室,,建面 69-106㎡,低单价,低总价,车位充足,人车分流,11000, 元/㎡(均价),总价75-100(万/套)
广州滨江上都璇湾,在售,荔湾,鹤洞,芳村大道南广州滨江上都,2室,3室,4室,建面 105-355㎡,车位充足,绿化率高,品牌房企,多轨交汇,125000, 元/㎡(均价),总价1312.5-2125(万/套)
中海映澜台,在售,海珠,工业大道南,新业路中海映澜台,4室,5室,,建面 141-246㎡,车位充足,人车分流,国央企,品牌房企,110000, 元/㎡(均价),总价2200-2900(万/套)
保利湖光悦色,在售,海珠,赤岗,华洲路保利湖光悦色,4室,,,建面 120-200㎡,车位充足,绿化率高,国央企,品牌房企,75000, 元/㎡(均价),总价850-1700(万/套)
中洲紫轩,待售,黄埔,鱼珠,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,,,,建面 41-115㎡,低总价,车位充足,人车分流,品牌房企,35000, 元/㎡(均价),总价156-550(万/套)
广垦天河1号,在售,天河,沙太南,怡新路广垦天河1号,1室,2室,,建面 40㎡,低总价,人车分流,封闭管理,国央企,30000, 元/㎡(均价),总价112-132(万/套)
越秀星耀TOD,在售,增城,新塘北,环城路越秀·星耀TOD,2室,3室,,建面 36-65㎡,人车分流,大型社区,近地铁,地铁沿线,16000, 元/㎡(均价),总价58-104(万/套)
珠光海珠新城,在售,海珠,南洲,南洲路975号,3室,4室,5室,建面 95-230㎡,车位充足,绿化率高,多轨交汇,地铁沿线,55000, 元/㎡(均价),总价475-2300(万/套)
公园海,待售,南沙,南沙湾,环市大道南公园海,,,,,车位充足,绿化率高,国央企,品牌房企,价格待定,,
联发|悦璞园,待售,增城,石滩镇,南北大道联发悦璞,,,,,小型社区,国央企,品牌房企,公交直达,价格待定,,
龙狮璟珑府,在售,黄埔,知识城,Y079龙狮璟珑府,3室,4室,,建面 91-168㎡,低单价,低总价,绿化率高,低密居所,23000, 元/㎡(均价),总价170-480(万/套)
广州城投·空港1号,在售,花都,镜湖大道,广州市花都区雅新大道（黄广中学南侧）,3室,4室,,建面 79-112㎡,车位充足,绿化率高,国央企,品牌房企,20000, 元/㎡(均价),总价190-270(万/套)
时代天境（花都）,待售,花都,旧区,天贵路时代天境（花都）,,,,,人车分流,小型社区,品牌房企,地铁沿线,价格待定,,
粤海·云港城,在售,白云,白云大道南,广东省广州市白云区齐心路84号（白云公园站旁）,4室,,,建面 140-264㎡,车位充足,绿化率高,国央企,品牌房企,85000, 元/㎡(均价),总价1250-2500(万/套)
力高大家·美颂,待售,增城,荔城西区,增城区北绕线力高大家·美颂,,,,,小型社区,品牌房企,地铁沿线,公交直达,价格待定,,
珠江广钢花城,在售,荔湾,东塱,广州市荔湾区荷景路5号,3室,4室,5室,建面 67-114㎡,低总价,绿化率高,国央企,品牌房企,35000, 元/㎡(均价),总价310-460(万/套)
珠江·金瑶台,在售,海珠,昌岗,广东省广州市海珠区崇礼大街18号,2室,3室,,建面 79-103㎡,特价好房,绿化率高,人车分流,国央企,50000, 元/㎡(均价),总价400-510(万/套)
富好城繁华里,在售,增城,新塘北,广东省广州市增城区富好城路30,3室,,,建面 85-101㎡,低单价,低总价,人车分流,大型社区,12000, 元/㎡(均价),总价100-130(万/套)
北大科技园·国际科创广场,待售,白云,石井,石沙公路81号,,,,,小型社区,近地铁,地铁沿线,综合商场,价格待定,,
利通金融中心,在售,南沙,明珠湾,潭州路利通金融中心,,,,,车位充足,大型社区,品牌房企,地铁沿线,25000, 元/㎡(均价),
广州城投禧阅盛汇,待售,增城,凤凰城,汽车城大道广州城投禧阅盛汇,,,,,人车分流,大型社区,国央企,品牌房企,价格待定,,
富力富云山,待售,白云,江夏,黄石西街23号,,,,,小型社区,品牌房企,近地铁,地铁沿线,价格待定,,
天地源伴山溪谷,在售,番禺,石楼,沙东路天地源伴山溪谷,2室,3室,,建面 83-103㎡,低单价,低总价,车位充足,绿化率高,22000, 元/㎡(均价),总价180-226(万/套)
广开控股城投云锦,在售,黄埔,长岭居,萝岭路广开控股城投云锦,3室,4室,,建面 124-186㎡,车位充足,人车分流,国央企,品牌房企,45000, 元/㎡(均价),总价550-870(万/套)
御璟兰园,在售,南沙,明珠湾,凤凰大道融朗园,5室,,,建面 88-135㎡,低总价,车位充足,人车分流,国央企,30000, 元/㎡(均价),总价445(万/套)
合生中央城（商业）,在售,黄埔,香雪,开源大道22号,1室,,,建面 40-52㎡,人车分流,大型社区,休闲会所,自持商业,60000, 元/㎡(均价),总价220-260(万/套)
星河江堤春晓,在售,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,,,,建面 99-133㎡,车位充足,人车分流,品牌房企,自持商业,33000, 元/㎡(均价),总价350(万/套)
科苑壹号,在售,南沙,南沙湾,广东省广州市南沙区南沙湾南横地铁站旁,4室,,,建面 126-165㎡,车位充足,绿化率高,国央企,品牌房企,24000, 元/㎡(均价),总价430-550(万/套)
越秀江海潮鸣,在售,南沙,明珠湾,安益路越秀江海潮鸣,2室,3室,,建面 96-140㎡,车位充足,人车分流,国央企,品牌房企,28000, 元/㎡(均价),总价301-520(万/套)
越秀大学城和樾府,在售,番禺,国际创新城,兴业大道越秀·大学城·和樾府,3室,4室,,建面 110-160㎡,特价好房,车位充足,绿化率高,国央企,50000, 元/㎡(均价),总价480-825(万/套)
广州国际创新驱动中心,待售,黄埔,知识城,知识城南起步区知识大道以南、永九快速路以东,,,,,车位充足,小型社区,国央企,品牌房企,价格待定,,
越秀白云星汇城,在售,白云,钟落潭,广龙路12号,3室,4室,,建面 74-116㎡,低单价,低总价,绿化率高,人车分流,18000, 元/㎡(均价),总价146-310(万/套)
IN PARK星贸中心,待售,黄埔,科学城,映日路IN PARK星贸中心,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
力迅荔筑,在售,荔湾,西场,东风西路南侧源溪大街东侧力迅荔筑,3室,4室,,建面 69-130㎡,人车分流,小型社区,品牌房企,近地铁,59000, 元/㎡(均价),总价448-762(万/套)
合景臻溋名铸,待售,天河,东圃,黄埔大道东合景臻溋名铸,,,,,小型社区,品牌房企,近地铁,多轨交汇,价格待定,,
保利越秀·天启,在售,荔湾,鹤洞,培真路保利越秀·天启,2室,3室,,建面 41-53㎡,低总价,人车分流,封闭管理,国央企,25000, 元/㎡(均价),总价100-160(万/套)
