字段1_文本,字段3,字段4,字段6,字段7_文本,字段8,字段9,字段10,字段11,字段13,字段14,字段15,字段16,字段17,字段18,字段19
香江天辰,在售,增城,凤凰城,G4香江天辰,4室,,,建面 79-102㎡,低单价,低总价,车位充足,封闭管理,13000, 元/㎡(均价),总价135(万/套)
保利明玥湖光,在售,增城,增城碧桂园,挂绿湖纵三路保利明玥湖光,2室,3室,,建面 84-121㎡,车位充足,人车分流,国央企,品牌房企,17000, 元/㎡(均价),总价133-215(万/套)
招商湾区1872,待售,南沙,东涌,庆沙路招商湾区1872,,,,,人车分流,小型社区,国央企,品牌房企,价格待定,,
中铁阅江来,在售,南沙,南沙区府,广东省广州市南沙区化工路,2室,3室,,建面 88-126㎡,特价好房,低单价,人车分流,封闭管理,17000, 元/㎡(均价),总价175-315(万/套)
中国铁建西派澜岸,在售,南沙,明珠湾,合兴路56号国际金融论坛IFF永久会址相距800米,3室,,,建面 105-261㎡,绿色建筑,车位充足,国央企,品牌房企,30000, 元/㎡(均价),总价400-500(万/套)
云城上品,在售,白云,嘉禾望岗,广东省广州市白云区新石路145号,3室,,,建面 72-105㎡,低总价,车位充足,绿化率高,国央企,37000, 元/㎡(均价),总价250-380(万/套)
勤诚达悦城,待售,黄埔,,洋田路勤诚达悦城,,,,,小型社区,品牌房企,公交直达,超市,价格待定,,
星际云汇,在售,黄埔,香雪,广东省广州市黄埔区S117(开创大道),,,,,国央企,近地铁,地铁沿线,小户型,价格待定,,
珠实云悦花语,在售,白云,钟落潭,广州市白云区钟落潭镇良城三路7号距广州14号线钟落潭地铁站A出口800米处,3室,4室,,建面 70-98㎡,低单价,低总价,车位充足,绿化率高,15000, 元/㎡(均价),总价110-180(万/套)
诚汇新都·榕诚湾,在售,荔湾,汾水,花海路力诚榕诚湾,4室,,,建面 85-165㎡,低总价,绿化率高,人车分流,品牌房企,35000, 元/㎡(均价),总价480-860(万/套)
勤诚达悦峯,待售,黄埔,科学城,黄登路勤诚达悦峯,,,,,小型社区,品牌房企,公交直达,综合商场,价格待定,,
珠江天郦,在售,天河,棠下,广州市天河区中山大道西1150号,4室,,,建面 129-180㎡,车位充足,人车分流,品牌房企,近地铁,85000, 元/㎡(均价),总价1100-1900(万/套)
勤诚达悦府,待售,黄埔,长岭居,长龙街勤诚达悦府,,,,,小型社区,品牌房企,地铁沿线,公交直达,价格待定,,
东江逸珑湾,在售,增城,新塘南,沿江大道39号（甘泉小学东侧）,,,,,低单价,人车分流,大型社区,品牌房企,17000, 元/㎡(均价),总价200(万/套)
中海麓府,在售,白云,江夏,广云路中海麓府,3室,4室,,建面 126-170㎡,车位充足,人车分流,国央企,品牌房企,56000, 元/㎡(均价),总价700-1140(万/套)
祈福半山臻品,在售,番禺,祈福新村,祈福天湖一街祈福半山臻品,2室,3室,4室,建面 82-145㎡,低单价,低总价,车位充足,绿化率高,30000, 元/㎡(均价),总价237-490(万/套)
岭南V谷荔湾新天地,在售,荔湾,广钢新城,荔信三街岭南V谷荔湾新天地,2室,3室,4室,建面 36-70㎡,低总价,车位充足,绿化率高,国央企,28000, 元/㎡(均价),总价110-250(万/套)
越秀公交天悦云山府,在售,白云,东平,白云大道北1697号,3室,5室,,建面 90-156㎡,低总价,车位充足,人车分流,国央企,32000, 元/㎡(均价),总价290-780(万/套)
布查特官邸情景洋房,在售,番禺,汉溪长隆,迎宾路锦绣香江花园山水华府,1室,3室,,建面 43-128㎡,低单价,低总价,绿化率高,低密居所,28000, 元/㎡(均价),总价150-355(万/套)
玖玥,在售,花都,铁路西,望亭路玖玥,2室,3室,4室,建面 97-127㎡,低单价,低总价,车位充足,绿化率高,11800, 元/㎡(均价),总价126-165(万/套)
保利锦上,在售,黄埔,香雪,广东省广州市黄埔区隧南路,3室,,,建面 75-135㎡,低总价,车位充足,绿化率高,国央企,29000, 元/㎡(均价),总价210-395(万/套)
越秀天河和樾府,在售,天河,沙太南,广东省广州市天河区燕园路13号,3室,4室,,建面 108-180㎡,车位充足,绿化率高,国央企,品牌房企,85000, 元/㎡(均价),总价850-1600(万/套)
大华城东瀚,在售,增城,朱村,广东省广州市增城区,2室,3室,4室,建面 64-97㎡,低单价,低总价,车位充足,人车分流,13000, 元/㎡(均价),总价85-165(万/套)
粤海·云港城,在售,白云,白云大道南,云城西路粤海·云港城,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
保利和悦滨江,在售,荔湾,西朗,兴渔路保利和悦滨江,,,,建面 74-107㎡,低总价,绿化率高,人车分流,国央企,45000, 元/㎡(均价),总价360(万/套)
北大科技园·国际科创广场,待售,白云,石井,石沙公路81号,,,,,小型社区,近地铁,地铁沿线,综合商场,价格待定,,
电建地产·洺悦玉府,待售,番禺,市桥,禺山西路电建地产·洺悦玉府,,,,,车位充足,国央企,品牌房企,公交直达,价格待定,,
星河湾萝峰,在售,黄埔,香雪,广东省广州市黄埔区萝岗路与启学路交叉口北200米,3室,5室,,建面 130-265㎡,车位充足,绿化率高,品牌房企,入户花园,38000, 元/㎡(均价),总价480-1550(万/套)
越秀国际总部广场,待售,南沙,金洲,金隆路越秀国际总部广场,,,,,人车分流,大型社区,国央企,品牌房企,价格待定,,
旭辉曜玥湾,待售,南沙,明珠湾,国际金融岛横沥大道旁,,,,,车位充足,大型社区,品牌房企,地铁沿线,价格待定,,
中国铁建西派澜岸,待售,南沙,明珠湾,长沙村西街中国铁建西派澜岸,,,,,人车分流,封闭管理,国央企,品牌房企,价格待定,,
星河江堤春晓,待售,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,,,,,车位充足,人车分流,品牌房企,近地铁,价格待定,,
新鸿基地产峻銮,在售,番禺,广州南站,广东省广州市番禺区韦涌路,3室,4室,,建面 68-162㎡,车位充足,绿化率高,品牌房企,近地铁,45000, 元/㎡(均价),总价388-798(万/套)
卓粤广场,待售,增城,新塘南,新塘大道东卓粤广场,,,,,小型社区,公交直达,综合商场,超市,价格待定,,
富丰华庭,在售,增城,朱村,朱村大道西富丰华庭,2室,3室,,建面 89-118㎡,低单价,低总价,车位充足,人车分流,13000, 元/㎡(均价),总价115-153(万/套)
升龙·学府上城,待售,黄埔,知识城,九龙大道,,,,,绿化率高,小型社区,品牌房企,近地铁,价格待定,,
长岭雅居,在售,黄埔,长岭居,长贤路长岭雅居,4室,,,建面 160-190㎡,车位充足,绿化率高,国央企,品牌房企,46000, 元/㎡(均价),总价695-800(万/套)
珠实·嘉悦湾,在售,白云,同德围,广东省广州市白云区同嘉路34号,4室,5室,,建面 89-112㎡,低总价,车位充足,人车分流,国央企,38000, 元/㎡(均价),总价350-420(万/套)
国化广场,待售,白云,白云大道南,广东省广州市白云区云城北二路116号,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
白鹅潭悦府,在售,荔湾,芳村,广东省广州市荔湾区长堤街133号,4室,,,建面 135-243㎡,车位充足,人车分流,国央企,品牌房企,100000, 元/㎡(均价),总价2500(万/套)
君超中心,待售,天河,金融城,黄埔大道中君超中心,,,,,人车分流,小型社区,近地铁,多轨交汇,价格待定,,
星晴雅筑,在售,番禺,市桥北,市桥街光明北路儿童公园路口西侧,2室,,,建面 89-93㎡,低总价,人车分流,小型社区,地铁沿线,31000, 元/㎡(均价),总价276-288(万/套)
世纪金源天河源筑,在售,天河,粤垦,东莞庄路世纪金源天河源筑,3室,4室,5室,建面 93-182㎡,车位充足,绿化率高,品牌房企,地铁沿线,61888, 元/㎡(均价),总价550-1365(万/套)
茗筑水岸,在售,南沙,明珠湾,庙南路茗筑水岸,,,,,绿化率高,低密居所,国央企,置换改善,价格待定,,
龙湖金地天峯,在售,番禺,番禺客运站,傍雁路龙湖金地天峯,,,,,低总价,人车分流,大型社区,品牌房企,80000, 元/㎡(均价),总价150(万/套)
耀胜新世界广场,待售,番禺,汉溪长隆,汉兴西路耀胜新世界广场,,,,,小型社区,品牌房企,近地铁,多轨交汇,价格待定,,
侨银大厦,待售,荔湾,坑口,东漖大桥侨银大厦,,,,,小型社区,地铁沿线,公交直达,超市,价格待定,,
汉国置业港汇台,在售,越秀,海珠广场,沿江中路港汇华庭二期,2室,3室,,建面 69-144㎡,车位充足,人车分流,近地铁,地铁沿线,100000, 元/㎡(均价),总价700-1730(万/套)
越秀滨海花城,在售,南沙,南沙区府,广澳高速越秀滨海花城,3室,,,建面 75-97㎡,低单价,低总价,车位充足,人车分流,15000, 元/㎡(均价),总价108-129(万/套)
广州城投东园公馆,在售,越秀,越秀南,越秀南路广州城投东园公馆,3室,4室,,建面 91-178㎡,车位充足,人车分流,国央企,品牌房企,130000, 元/㎡(均价),总价1000-2100(万/套)
中国铁建翰林新语,在售,增城,新塘北,乌石大道中国铁建翰林新语,2室,3室,,建面 72-95㎡,车位充足,人车分流,国央企,品牌房企,18000, 元/㎡(均价),总价130-180(万/套)
联投·文津府,在售,天河,黄村,执信三路联投·文津府,3室,4室,,建面 111-165㎡,车位充足,绿化率高,国央企,品牌房企,58000, 元/㎡(均价),总价580-1100(万/套)
万科·理想花地·瑧园,在售,荔湾,花地湾,广东省广州市荔湾区东漖北路191号,3室,4室,,建面 110-186㎡,车位充足,人车分流,国央企,品牌房企,54000, 元/㎡(均价),总价560-1050(万/套)
万科·理想花地·朗庭,在售,荔湾,花地湾,广东省广州市荔湾区花地大道北385号,2室,3室,,建面 79-128㎡,人车分流,封闭管理,国央企,品牌房企,47000, 元/㎡(均价),总价430-530(万/套)
智联花园,在售,番禺,莲花山,石楼镇智睿大街4号,,,,,车位充足,人车分流,国央企,品牌房企,30000, 元/㎡(均价),总价3000(万/套)
仟信广场,在售,从化,河滨北路,仟信街12号,1室,,,建面 51㎡,低单价,低总价,车位充足,绿化率高,8000, 元/㎡(均价),总价45(万/套)
中建天河精诚壹号,在售,天河,岑村,广东省广州市天河区长兴街道华观路以北，高唐路以西,2室,3室,4室,建面 78-118㎡,特价好房,绿化率高,人车分流,国央企,52000, 元/㎡(均价),总价440-700(万/套)
鹏瑞1号,在售,天河,东圃,黄埔大道东鹏瑞金融城,,,,,车位充足,人车分流,品牌房企,近地铁,价格待定,,
保利四季和颂,在售,海珠,广州大道南,广东省广州市海珠区广州大道南788号,4室,,,建面 108-140㎡,车位充足,绿化率高,国央企,品牌房企,75000, 元/㎡(均价),总价1080(万/套)
中国铁建西派粤府,在售,海珠,沥滘,南天路中国铁建西派粤府,4室,,,建面 120-140㎡,车位充足,绿化率高,国央企,品牌房企,65000, 元/㎡(均价),总价780-1200(万/套)
越秀珠实城发江湾和樾,在售,海珠,工业大道中,广东省广州市海珠区昌岗西路,4室,,,建面 107-188㎡,车位充足,大型社区,国央企,品牌房企,75000, 元/㎡(均价),总价1050-1500(万/套)
空港国际·科技谷,待售,花都,花东镇,凤祥路空港国际·科技谷,,,,,小型社区,公交直达,超市,公园,价格待定,,
云平上品,在售,白云,东平,白云大道北云庐,4室,,,建面 128-172㎡,车位充足,绿化率高,国央企,品牌房企,55000, 元/㎡(均价),总价560-1080(万/套)
品秀星图,在售,增城,新塘北,广州地铁13号线官湖车辆段（官湖站B出口）,,,,,车位充足,人车分流,国央企,品牌房企,36000, 元/㎡(均价),
越秀大学星汇锦城,在售,番禺,南村,南村东线路越秀大学星汇锦城,3室,4室,,建面 70-126㎡,低单价,低总价,绿化率高,人车分流,30000, 元/㎡(均价),总价220-400(万/套)
琶洲樾,待售,海珠,磨碟沙,新港东路琶洲樾,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
保利·天瑞,在售,天河,汇景新城,广园快速路保利·天瑞,3室,4室,,建面 107-268㎡,车位充足,绿化率高,国央企,品牌房企,80000, 元/㎡(均价),总价890-2500(万/套)
珠江国际城,在售,从化,神岗镇,广从南路珠江壹城,1室,,,建面 26-53㎡,人车分流,大型社区,品牌房企,近地铁,19000, 元/㎡(均价),总价110(万/套)
保利瑧誉,在售,荔湾,坑口,东漖街保利瑧誉,3室,4室,,建面 88-170㎡,绿化率高,人车分流,国央企,品牌房企,55000, 元/㎡(均价),总价520-950(万/套)
品秀·星瀚,在售,番禺,广州南站,大榄地路品秀·星瀚,,,,,低总价,车位充足,人车分流,国央企,30000, 元/㎡(均价),总价80(万/套)
科城·新世代,在售,黄埔,知识城,四横路科城·新世代,,,,,小型社区,近地铁,地铁沿线,超市,价格待定,,
丰盛101,待售,增城,新塘北,民营西一路丰盛101,,,,,小型社区,品牌房企,地铁沿线,公交直达,价格待定,,
龙湖御湖境,在售,番禺,大石,迎宾路龙湖御湖境,4室,,,建面 115-206㎡,车位充足,绿化率高,品牌房企,地铁沿线,42000, 元/㎡(均价),总价480-888(万/套)
珠实·西关都荟,在售,荔湾,南岸路,荔湾区南岸路26号,4室,5室,,建面 89-142㎡,人车分流,小型社区,国央企,品牌房企,70000, 元/㎡(均价),总价580-1100(万/套)
正升星荟,待售,白云,石井,石沙公路正升星荟,,,,,小型社区,品牌房企,近地铁,地铁沿线,价格待定,,
保利锦上,在售,黄埔,香雪,隧南路保利锦上,,,,建面 79㎡,车位充足,人车分流,国央企,品牌房企,35000, 元/㎡(均价),总价190(万/套)
光大ONE+,待售,增城,永宁,香山大道与创盈路交汇处,,,,,大型社区,品牌房企,公交直达,超市,价格待定,,
上馨华府,在售,番禺,大石,新光快速上馨华府,,,,,低单价,低总价,绿化率高,低密居所,28000, 元/㎡(均价),总价260(万/套)
广州地铁地产珑璟台,在售,海珠,赤岗,龙潭东环街广州地铁地产·珑璟台,3室,4室,,建面 120-195㎡,人车分流,小型社区,国央企,品牌房企,85000, 元/㎡(均价),总价900-2000(万/套)
万科瑧樾府,在售,越秀,东川路,东濠涌高架路万科·瑧樾府,3室,4室,,建面 107-180㎡,小型社区,封闭管理,国央企,品牌房企,90000, 元/㎡(均价),总价1375-1800(万/套)
广建·云城学府,待售,白云,,广州市白云区广建·云城学府,,,,,绿化率高,大型社区,国央企,品牌房企,价格待定,,
长隆万博悦府,在售,番禺,汉溪长隆,汉溪大道东长隆万博悦府,4室,5室,,建面 108-300㎡,特价好房,车位充足,绿化率高,国央企,65000, 元/㎡(均价),总价630-2300(万/套)
粤海壹桂府,待售,越秀,海珠广场,北京路粤海壹桂府,,,,,国央企,品牌房企,近地铁,地铁沿线,价格待定,,
广州之窗商务港,待售,海珠,沥滘,新城市中轴线南段端点西侧，南临珠江后航道,,,,,大型社区,国央企,品牌房企,近地铁,价格待定,,
亿凯创智汇,待售,白云,太和,北太路亿凯创智汇,,,,,小型社区,地铁沿线,公交直达,综合商场,价格待定,,
晓庐,待售,海珠,磨碟沙,新港东路晓庐,,,,,小型社区,近地铁,地铁沿线,超市,价格待定,,
东基天河阳光,在售,天河,黄村,大观街东基·天河阳光,,,,,低总价,人车分流,小型社区,品牌房企,38000, 元/㎡(均价),总价120(万/套)
保利阅江台,在售,海珠,滨江东,广东省广州市海珠区玉菡路50号,4室,,,建面 121-208㎡,车位充足,人车分流,国央企,品牌房企,92000, 元/㎡(均价),总价1100-1900(万/套)
广州足球公园,待售,番禺,钟村,谢村地铁站旁,,,,,大型社区,国央企,品牌房企,近地铁,价格待定,,
江语上品苑,在售,白云,石井,广州市白云区广海路以北,3室,4室,,建面 125-319㎡,车位充足,人车分流,国央企,品牌房企,45000, 元/㎡(均价),总价570-2500(万/套)
淘金山花园,待售,增城,朱村,朱村街淘金山花园,,,,,小型社区,超市,,,价格待定,,
旺村·知筑,待售,黄埔,知识城,旺村西路旺村知筑,,,,,小型社区,国央企,地铁沿线,公交直达,价格待定,,
华润置地天河润府,在售,天河,黄村,广州天河奥体天河区·广园快速路·天河儿童公园旁,3室,4室,,建面 81-130㎡,优惠楼盘,车位充足,绿化率高,国央企,60000, 元/㎡(均价),总价410-800(万/套)
君熙府,在售,越秀,北京路,解放中路392号,3室,4室,,建面 93-146㎡,车位充足,人车分流,近地铁,地铁沿线,85000, 元/㎡(均价),总价733-1390(万/套)
云瀚府,在售,越秀,东川路,白云路29-31号,3室,5室,,建面 130-197㎡,车位充足,人车分流,品牌房企,近地铁,100000, 元/㎡(均价),总价1250-2100(万/套)
佳兆业佳泽园,在售,增城,荔城西区,荔城街增城大道钟岗地铁D出口附近,,,,,低单价,车位充足,人车分流,品牌房企,18500, 元/㎡(均价),总价130(万/套)
保利水木芳华,待售,增城,朱村,朱村大道西保利水木芳华,,,,,人车分流,小型社区,国央企,品牌房企,25000, 元/㎡(均价),总价130(万/套)
铂玥明珠ONE,在售,南沙,明珠湾,文字路铂玥明珠ONE,2室,3室,,建面 54-70㎡,车位充足,人车分流,品牌房企,近地铁,14000, 元/㎡(均价),总价92-119(万/套)
中海浣花里,在售,荔湾,坑口,浣花路中海浣花里,,,,建面 71-108㎡,人车分流,小型社区,国央企,品牌房企,46000, 元/㎡(均价),总价400(万/套)
武汉城建·保利·花语和岸,在售,荔湾,芳村,广东省广州市荔湾区花地街道涌岸街武汉城建·保利·花语和岸,3室,4室,,建面 86-142㎡,绿化率高,人车分流,品牌房企,近地铁,51000, 元/㎡(均价),总价420-760(万/套)
青云喜满园,待售,从化,旺城片区,和鸣路青云喜满园,,,,,车位充足,绿化率高,公交直达,综合商场,价格待定,,
朗悦时光里,待售,花都,铁路西,瑞云路朗悦时光里,,,,,人车分流,小型社区,近地铁,地铁沿线,价格待定,,
保利琅誉,在售,番禺,番禺客运站,广东省广州市番禺区傍雁路98号,2室,,,建面 92-132㎡,低总价,车位充足,绿化率高,国央企,38000, 元/㎡(均价),总价330-490(万/套)
路劲美的隽樾府,在售,番禺,番禺广场,广东省广州市番禺区东盛路50号,3室,,,建面 87-132㎡,车位充足,人车分流,品牌房企,近地铁,38000, 元/㎡(均价),总价430-510(万/套)
明月豪庭,在售,越秀,西门口,解放中路明月豪庭,2室,,,建面 42-109㎡,小型社区,近地铁,地铁沿线,大两居,28000, 元/㎡(均价),总价321(万/套)
保利和颂,在售,荔湾,坑口,浣花路保利和颂,1室,3室,,建面 72-99㎡,低总价,人车分流,小型社区,国央企,46000, 元/㎡(均价),总价370-469(万/套)
国贸云上,在售,白云,嘉禾望岗,白云-嘉禾望岗/松园路国贸云上,3室,4室,,建面 85-143㎡,绿化率高,人车分流,国央企,品牌房企,50000, 元/㎡(均价),总价390-615(万/套)
嘉禧天和大厦,待售,天河,黄村,广州市天河区黄村康体路,,,,,人车分流,小型社区,近地铁,多轨交汇,价格待定,,
广州城投·天赋壹号,在售,天河,金融城,广东省广州市天河区临江大道北,,,,,人车分流,小型社区,国央企,品牌房企,价格待定,,
中金岭南鑫贸大厦,待售,南沙,明珠湾,沙嘴东路中金岭南鑫贸大厦,,,,,小型社区,国央企,地铁沿线,公交直达,价格待定,,
星河智荟二期,在售,南沙,明珠湾,新村街星河智荟二期,3室,,,建面 88-183㎡,低单价,低总价,绿化率高,人车分流,20000, 元/㎡(均价),总价400(万/套)
建发央玺,待售,白云,石井,石潭路444号,,,,,大型社区,国央企,品牌房企,近地铁,价格待定,,
建发明珠湾玺,在售,南沙,明珠湾,凤凰大道建发明珠湾玺,,,,,人车分流,封闭管理,国央企,品牌房企,19500, 元/㎡(均价),总价70(万/套)
建发明珠湾玺,在售,南沙,明珠湾,凤凰大道建发明珠湾玺,0室,1室,,建面 36-72㎡,低总价,人车分流,封闭管理,国央企,19500, 元/㎡(均价),总价70-130(万/套)
金海岸花园观海,在售,番禺,番禺客运站,广东省广州市番禺区金海岸大道87号,4室,5室,,建面 220-318㎡,绿化率高,大平层,动静分明,现房,50000, 元/㎡(均价),总价1130-1590(万/套)
敏捷东樾府,待售,增城,石滩镇,绿湖南路西南向,,,,,车位充足,人车分流,品牌房企,公交直达,价格待定,,
润悦,待售,增城,荔城西区,广汕公路华润置地润悦,,,,,大型社区,国央企,品牌房企,公交直达,价格待定,,
中新知识城国际领军人才集聚区,待售,黄埔,知识城,狮龙大道中（凤凰湖北岸）,,,,,大型社区,近地铁,地铁沿线,综合商场,价格待定,,
广州城投未来智都,待售,白云,江夏,云康南路广州城投未来智都,,,,,小型社区,国央企,近地铁,地铁沿线,价格待定,,
奥园湾区智谷,待售,南沙,东涌,纵三路奥园湾区智谷,,,,,小型社区,品牌房企,地铁沿线,公园,价格待定,,
高新仕林苑,在售,黄埔,长岭居,广州黄埔长岭居萝岭路以东、长贤路以南,3室,4室,5室,建面 99-181㎡,车位充足,绿化率高,国央企,品牌房企,35000, 元/㎡(均价),总价360-720(万/套)
越秀白云星汇城,待售,白云,钟落潭,14号线钟落潭地铁站旁,,,,,大型社区,国央企,品牌房企,地铁沿线,价格待定,,
金茂万科都会四季商铺,待售,增城,白江,新塘镇东江大道和沿江大道交汇处,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
国化广场,待售,白云,白云大道南,广东省广州市白云区云城北二路116号,,,,,车位充足,人车分流,近地铁,地铁沿线,价格待定,,
东基天河阳光,待售,天河,黄村,大观街东基·天河阳光,,,,,人车分流,小型社区,品牌房企,地铁沿线,价格待定,,
中海江泰里,待售,海珠,江燕路,广东省广州市海珠区江泰路46号,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
星河畔月湾,待售,南沙,横沥,新广一路星河畔月湾,,,,,车位充足,大型社区,公交直达,公园,价格待定,,
耀胜新世界广场,待售,番禺,汉溪长隆,汉兴西路耀胜新世界广场,,,,,小型社区,品牌房企,近地铁,多轨交汇,价格待定,,
万科黄埔新城,待售,黄埔,南岗,广东省广州市黄埔区沙步大路12,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
中建凤榕台,待售,增城,朱村,新时路中建凤榕台,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
IN PARK星贸中心,在售,黄埔,科学城,广东省广州市黄埔区科学城联和街道映日路74号,,,,,人车分流,封闭管理,国央企,品牌房企,价格待定,,
中建·星光城,待售,白云,石井,石沙路与朝阳联滘街交界处,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
嘉禧天和,待售,天河,黄村,黄村康体路嘉禧天和,,,,,小型社区,近地铁,多轨交汇,超市,价格待定,,
金祥大厦,待售,荔湾,流花站前,站前路193号,,,,,小型社区,近地铁,地铁沿线,超市,价格待定,,
天鹅壹号,待售,海珠,洪德,环岛路天鹅壹号,,,,,小型社区,近地铁,多轨交汇,超市,价格待定,,
粤海·云港城,在售,白云,白云大道南,云城西路粤海·云港城,3室,4室,,建面 129-148㎡,人车分流,大型社区,国央企,品牌房企,40000, 元/㎡(均价),总价580-660(万/套)
星河发展大厦,待售,南沙,明珠湾,广东省广州市南沙区横沥镇星河发展大厦,,,,,车位充足,小型社区,品牌房企,地铁沿线,价格待定,,
迈谷·天河科融苑,待售,天河,车陂,车陂西路迈谷科融苑,,,,,小型社区,近地铁,地铁沿线,超市,价格待定,,
银帝云珹天地,待售,白云,白云大道南,云城东路银帝云珹天地,,,,,车位充足,人车分流,品牌房企,近地铁,价格待定,,
广州力合科创中心,待售,白云,石井,石门街道广州力合科创中心,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
城投天禧,在售,天河,智慧城,广州市天河区智慧城华观路与大观中路交界处(地铁21号线天河智慧城站B出口可达),3室,4室,,建面 108-138㎡,车位充足,绿化率高,国央企,品牌房企,43000, 元/㎡(均价),总价450-650(万/套)
建鑫荔棠雅苑,在售,增城,新塘北,广深大道中88号,,,,,小型社区,地铁沿线,公交直达,未来2年内交房,价格待定,,
新世界·天馥,在售,荔湾,滘口,珠江桥南侧花卉研究所西侧,3室,4室,,建面 76-139㎡,低总价,绿色建筑,人车分流,品牌房企,41000, 元/㎡(均价),总价295-620(万/套)
黄埔创新中心,待售,黄埔,黄埔区府,丰乐北路雅居乐黄埔创新中心,,,,,小型社区,地铁沿线,公交直达,综合商场,价格待定,,
珠江国际创业中心,待售,增城,新塘北,新塘镇创想路8号,,,,,国央企,品牌房企,公交直达,综合商场,价格待定,,
金茂万科都会四季,待售,增城,白江,新塘镇东江大道和沿江大道交汇处,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
钧明欢乐世界,待售,增城,永宁,镇永和誉山国际山语一街5号一层,,,,,小型社区,品牌房企,公交直达,综合商场,价格待定,,
铂玥明珠ONE,待售,南沙,明珠湾,文字路铂玥明珠ONE,,,,,小型社区,品牌房企,近地铁,地铁沿线,价格待定,,
朗悦时光里,待售,花都,铁路西,瑞云路朗悦时光里,,,,,小型社区,近地铁,地铁沿线,综合商场,价格待定,,
鱼珠·星河里,待售,黄埔,大沙地,护林路2号（天河珠村东侧）,,,,,小型社区,多轨交汇,地铁沿线,综合商场,价格待定,,
广开云汇科技金融中心,在售,黄埔,科学城,科学大道广开云汇科技金融中心,1室,2室,3室,建面 48-115㎡,人车分流,大型社区,国央企,品牌房企,28000, 元/㎡(均价),总价145-300(万/套)
珠江科技创新园,待售,海珠,官洲,新滘东路珠江科技创新园,,,,,小型社区,品牌房企,地铁沿线,公交直达,价格待定,,
中海天幕湾,在售,番禺,亚运城,兴亚五路中海天幕湾,4室,,,建面 180-237㎡,车位充足,人车分流,国央企,品牌房企,36000, 元/㎡(均价),总价850(万/套)
云筑上品,在售,白云,夏茅,广东省广州市白云区鹤边细彭岭路4号,3室,4室,,建面 88-142㎡,车位充足,绿化率高,国央企,品牌房企,43000, 元/㎡(均价),总价350-670(万/套)
珠江铂世湾,待售,番禺,雅居乐,江山帝景高尔夫东侧,,,,,车位充足,人车分流,品牌房企,地铁沿线,价格待定,,
首开保利.云湖壹号,在售,白云,夏茅,向西大道白云湖东门旁,1室,,,建面 30㎡,低总价,车位充足,人车分流,国央企,47000, 元/㎡(均价),总价140(万/套)
中建联投学府悦城,在售,增城,荔城西区,增城大道318号,,,,,车位充足,人车分流,国央企,品牌房企,28000, 元/㎡(均价),
五矿招商江天际,在售,白云,石井,广东省广州市白云区,,,,,低总价,人车分流,大型社区,国央企,价格待定,,
晟云台,在售,白云,龙归,广东省广州市白云区石湖新大路晟云台,,,,,低总价,车位充足,人车分流,地铁沿线,35000, 元/㎡(均价),总价2200(万/套)
保利湖光悦色,待售,海珠,赤岗,华洲路保利湖光悦色,,,,,车位充足,国央企,品牌房企,近地铁,价格待定,,
保利云境,在售,白云,黄石,鹤联街保利云境,1室,2室,,建面 68-110㎡,低总价,绿化率高,人车分流,国央企,36000, 元/㎡(均价),总价250-310(万/套)
越秀·观樾,在售,天河,黄村,黄村街道越秀观樾,4室,,,建面 125-250㎡,车位充足,绿化率高,国央企,置换改善,85000, 元/㎡(均价),总价1100-2250(万/套)
海丝未来时区,待售,黄埔,知识城,龙湖街道海丝未来时区,,,,,小型社区,国央企,近地铁,地铁沿线,价格待定,,
星灿大厦,待售,天河,黄村,大观街星灿大厦,,,,,小型社区,品牌房企,地铁沿线,综合商场,价格待定,,
ing未来印,待售,天河,车陂,车陂街道未来印,,,,,小型社区,品牌房企,近地铁,多轨交汇,价格待定,,
