字段1_文本,字段3,字段4,字段6,字段7_文本,字段8,字段9,字段10,字段11,字段13,字段14,字段15,字段16,字段17,字段18,字段19
保利天悦,在售,南海,千灯湖,清风西路保利天悦,1室,2室,3室,建面 63-188㎡,佛山楼盘,车位充足,人车分流,国央企,18000, 元/㎡(均价),总价130-500(万/套)
锦绣春江花园,在售,鼎湖区,鼎湖,天后路锦绣春江花园,2室,3室,4室,建面 71-126㎡,楼盘,人车分流,封闭管理,旅游地产,6000, 元/㎡(均价),总价48-79(万/套)
溪湾华府,在售,高要区,,肇庆市高要区大湾镇平埔开发区怡发工业大道8号,3室,4室,,建面 94-127㎡,楼盘,低单价,低总价,绿化率高,4800, 元/㎡(均价),总价39-53(万/套)
保利天汇,在售,南海,平洲,佛山市南海区清风路桂城街道,4室,5室,,建面 128-299㎡,佛山楼盘,车位充足,人车分流,国央企,35000, 元/㎡(均价),总价330-1500(万/套)
凯景半岛,在售,高明,荷城,苏河路凯景半岛,3室,4室,,建面 82-120㎡,佛山楼盘,人车分流,小型社区,公交直达,8000, 元/㎡(均价),总价66-90(万/套)
啟骏琅逸轩,在售,南海,黄岐,广东省佛山市南海区黄海路26号,3室,,,建面 105㎡,佛山楼盘,低密居所,人车分流,公交直达,22000, 元/㎡(均价),总价220(万/套)
保利三龙湾天珺,在售,禅城,湖景,东平路保利三龙湾天珺,4室,5室,,建面 192-354㎡,佛山楼盘,车位充足,人车分流,国央企,40000, 元/㎡(均价),总价970-1600(万/套)
越秀星汇文瀚,在售,南海,平洲,夏东路越秀星汇文瀚,3室,4室,,建面 85-115㎡,佛山楼盘,人车分流,小型社区,国央企,23000, 元/㎡(均价),总价175-275(万/套)
融基齐家湖壹号,在售,三水,乐平,佛山市三水区乐平镇儒家天下文化公园旁,3室,4室,,建面 98-178㎡,佛山楼盘,特价好房,车位充足,绿化率高,9500, 元/㎡(均价),总价95-170(万/套)
天樾华园,在售,禅城,澜石,广东省佛山市禅城区黎明路8号,3室,4室,,建面 93-139㎡,佛山楼盘,低总价,车位充足,绿化率高,15500, 元/㎡(均价),总价140-238(万/套)
君汇熙庭,在售,四会,,汇林路君汇熙庭,2室,3室,,建面 67-108㎡,楼盘,低总价,人车分流,大型社区,6800, 元/㎡(均价),总价45-55(万/套)
城发灯湖悦园,在售,禅城,祖庙,佛山市禅城区海五路与货站路交汇处,2室,3室,4室,建面 83-118㎡,佛山楼盘,人车分流,大型社区,国央企,16000, 元/㎡(均价),总价135-200(万/套)
保利新汇城,在售,禅城,祖庙,广东省佛山市禅城区佛罗路45号,,,,,佛山楼盘,人车分流,大型社区,国央企,25000, 元/㎡(均价),总价170(万/套)
捷和广场三期水溋坊,在售,三水,云东海街道,南丰大道捷和广场三期水溋坊,2室,3室,4室,建面 80-119㎡,佛山楼盘,低总价,绿化率高,人车分流,8600, 元/㎡(均价),总价68-118(万/套)
东建映月湖壹号,在售,南海,平洲,和洲路东建映月湖壹号,4室,5室,,建面 160-320㎡,佛山楼盘,车位充足,人车分流,品牌房企,35000, 元/㎡(均价),总价500-1300(万/套)
华侨城天鹅堡二期,在售,顺德,大良东区,佛山市顺德区大良街道欢乐大道2号,3室,4室,5室,建面 109-315㎡,佛山楼盘,车位充足,人车分流,国央企,22000, 元/㎡(均价),总价240-820(万/套)
建发融创和玺,在售,三水,云东海街道,广东省佛山市三水区韵丰路,1室,,,建面 16-81㎡,佛山楼盘,人车分流,封闭管理,国央企,25000, 元/㎡(均价),总价60-160(万/套)
顺控•桂樾台,在售,顺德,容桂,文海西路12号,2室,3室,,建面 89-125㎡,佛山楼盘,优惠楼盘,低单价,封闭管理,9500, 元/㎡(均价),总价85-125(万/套)
九峯台,在售,高明,荷城,高明区荷城街道秀湾路88号,4室,,,建面 165-200㎡,佛山楼盘,车位充足,人车分流,公交直达,9500, 元/㎡(均价),总价156-190(万/套)
北岸美庐,在售,顺德,乐从,佛山市顺德区沙滘北村美景路1号,3室,4室,6室,建面 107-350㎡,佛山楼盘,低单价,人车分流,封闭管理,10000, 元/㎡(均价),总价128-400(万/套)
顺伦海心明月,在售,顺德,伦教,顺德区彩虹路与奋业路交叉口东北120米,2室,3室,,建面 75-120㎡,佛山楼盘,低单价,低总价,人车分流,11000, 元/㎡(均价),总价75-140(万/套)
保利琅悦,在售,南海,桂城,南海-石啃/桂澜路保利琅悦,3室,4室,,建面 89-173㎡,佛山楼盘,人车分流,大型社区,国央企,25000, 元/㎡(均价),总价210-520(万/套)
建发灯湖天峯,在售,南海,大沥,广东省佛山市南海区新村大街23巷,4室,,,建面 131-151㎡,佛山楼盘,绿化率高,人车分流,国央企,32000, 元/㎡(均价),总价400-500(万/套)
建发灯湖缦云,在售,南海,盐步,岳利沙路建发灯湖缦云,4室,5室,,建面 175-338㎡,佛山楼盘,车位充足,人车分流,国央企,45000, 元/㎡(均价),总价700-2000(万/套)
华侨城半月岛纯水岸,在售,禅城,湖景,东平路华侨城半月岛纯水岸,4室,,,建面 140-227㎡,佛山楼盘,人车分流,封闭管理,国央企,31000, 元/㎡(均价),总价350-873(万/套)
万科世纪灯湖·瑧府,在售,南海,千灯湖,华翠北路万科瑧府,3室,4室,,建面 143-237㎡,佛山楼盘,车位充足,绿化率高,国央企,50000, 元/㎡(均价),总价600-1100(万/套)
滨江嘉苑,在售,端州区,,二塔路滨江嘉苑,3室,4室,,建面 102-139㎡,楼盘,人车分流,小型社区,公交直达,9800, 元/㎡(均价),总价110-140(万/套)
保利和著,在售,南海,平洲,深海路保利和著,4室,,,建面 119-163㎡,佛山楼盘,车位充足,人车分流,国央企,24000, 元/㎡(均价),总价270-490(万/套)
裕桂楼,在售,南海,桂城,广东省佛山市南海区南新一路9号,2室,3室,,建面 91-114㎡,佛山楼盘,人车分流,小型社区,近地铁,20000, 元/㎡(均价),总价180-220(万/套)
汇景园,在售,鼎湖区,鼎湖,民乐大道汇景园,3室,4室,,建面 87-117㎡,楼盘,低单价,低总价,绿化率高,5200, 元/㎡(均价),总价46-65(万/套)
丽江蓝湾,在售,高要区,,文峰路丽江蓝湾,2室,3室,,建面 67-84㎡,楼盘,低单价,低总价,人车分流,4900, 元/㎡(均价),总价35-45(万/套)
怡亚通珑樾,在售,禅城,岭南大道,文华中路怡亚通珑樾,3室,,,建面 123-142㎡,佛山楼盘,车位充足,低密居所,国央企,22000, 元/㎡(均价),总价275-315(万/套)
新希望悦珑湾,在售,顺德,陈村,广东省佛山市顺德区,,,,,佛山楼盘,人车分流,封闭管理,品牌房企,25000, 元/㎡(均价),总价139(万/套)
颐安·雍悦华府,在售,三水,北江新区,三水区西南街道口岸达到22号,1室,,,建面 23-97㎡,佛山楼盘,人车分流,封闭管理,品牌房企,20000, 元/㎡(均价),总价50-160(万/套)
顺控博悦湾新翼,在售,顺德,顺德碧桂园,佛山顺德北滘碧桂园社区科贤路1号,4室,,,建面 123-138㎡,佛山楼盘,低单价,低总价,人车分流,11000, 元/㎡(均价),总价166-186(万/套)
中盛龙骧水岸,在售,南海,大沥,佛山南海大沥广佛路太平牌坊旁,2室,3室,,建面 88-118㎡,佛山楼盘,人车分流,小型社区,品牌房企,15500, 元/㎡(均价),总价150-203(万/套)
致美家园,在售,南海,狮山,佛山市南海区狮山镇博华路2号,3室,4室,5室,建面 134-392㎡,佛山楼盘,车位充足,人车分流,品牌房企,16000, 元/㎡(均价),总价220-1000(万/套)
岭南华曦府,在售,顺德,大良东区,东乐路岭南华曦府,3室,4室,,建面 98-135㎡,佛山楼盘,人车分流,封闭管理,国央企,17000, 元/㎡(均价),总价166-243(万/套)
江鹤1号,在售,鹤山市,鹤山市,大岗路江鹤1号,3室,4室,,建面 89-143㎡,楼盘,车位充足,人车分流,小三居,7000, 元/㎡(均价),总价53-82(万/套)
春风潮鸣花园,在售,鹤山市,鹤山市,江门鹤山市沙坪城区古劳水乡东坡公园旁,3室,4室,,建面 83-103㎡,楼盘,人车分流,大型社区,品牌房企,7750, 元/㎡(均价),总价57-68(万/套)
春风潮鸣花园,在售,鹤山市,鹤山市,沙坪街道春风潮鸣花园,4室,5室,,建面 214-231㎡,楼盘,人车分流,大型社区,品牌房企,10000, 元/㎡(均价),总价220-235(万/套)
顺峰府,在售,顺德,大良东区,广东省佛山市顺德区新桂中路9号,2室,3室,4室,建面 90-300㎡,佛山楼盘,车位充足,绿化率高,近地铁,17000, 元/㎡(均价),总价148-600(万/套)
新怡明德世家,在售,南海,盐步,佛山南海大沥皇朝西路与建设西路交汇处,3室,4室,,建面 93-137㎡,佛山楼盘,低单价,人车分流,小型社区,13500, 元/㎡(均价),总价125-195(万/套)
东建天赋龙湾,在售,禅城,张槎,佛山禅城张槎忠信路北侧、华富路西侧、智慧路南侧,3室,4室,,建面 97-187㎡,佛山楼盘,绿化率高,人车分流,品牌房企,18500, 元/㎡(均价),总价150-403(万/套)
智信明轩,在售,高明,荷城,祥如路23号,3室,,,建面 95-108㎡,佛山楼盘,人车分流,小型社区,公交直达,6300, 元/㎡(均价),总价57-68(万/套)
博雅滨江,在售,三水,西南街道,文锋西路55号花果山,1室,,,建面 28-68㎡,佛山楼盘,车位充足,人车分流,品牌房企,20000, 元/㎡(均价),总价57-137(万/套)
捷和广场三期水溋坊,在售,三水,云东海街道,南丰大道捷和广场三期水溋坊,1室,,,建面 22-65㎡,佛山楼盘,低总价,人车分流,封闭管理,25000, 元/㎡(均价),总价104.4-164.9(万/套)
桐林天晋,在售,南海,盐步,南海-盐步/盐秀路1号之二,2室,3室,,建面 89-115㎡,佛山楼盘,人车分流,小型社区,公交直达,17000, 元/㎡(均价),总价137-201(万/套)
涛汇鎏金湾二期·瑞府,在售,顺德,大良新区,佛山顺德大良南江社区德胜西路10号,3室,4室,,建面 120-140㎡,佛山楼盘,绿化率高,人车分流,公交直达,15000, 元/㎡(均价),总价195-225(万/套)
怡亚通珑樾,在售,禅城,岭南大道,地铁湾华站北行约200米,,,,,佛山楼盘,车位充足,人车分流,国央企,18000, 元/㎡(均价),总价1100(万/套)
藏珑华府,在售,顺德,陈村,顺德-陈村/佛山广珠西线石洲出口西侧800米,1室,2室,,建面 39-58㎡,佛山楼盘,低单价,人车分流,封闭管理,8800, 元/㎡(均价),总价30-50(万/套)
智富新天地,在售,顺德,杏坛,佛山顺德杏坛高赞村高桂大道北28号,3室,4室,,建面 72-107㎡,佛山楼盘,低单价,低总价,人车分流,7800, 元/㎡(均价),总价54-83(万/套)
中兴汇富居,在售,鹤山市,鹤山市,铁夫路中兴汇富居,3室,4室,5室,建面 76-189㎡,楼盘,绿化率高,人车分流,公交直达,6800, 元/㎡(均价),总价49-150(万/套)
桃园高尔夫豪庭,在售,南海,松岗,南海区狮山镇桃影路8号,6室,7室,8室,建面 396-973㎡,佛山楼盘,人车分流,小型社区,置换改善,20000, 元/㎡(均价),总价480-2300(万/套)
万和融禧公馆,在售,南海,千灯湖,桂城街道万和融禧公馆,2室,3室,,建面 71-122㎡,佛山楼盘,小型社区,封闭管理,多轨交汇,17000, 元/㎡(均价),总价130-225(万/套)
大学城•禾粤,在售,南海,狮山,佛山南海狮山和众路3号,3室,4室,,建面 88-123㎡,佛山楼盘,低单价,低总价,人车分流,7500, 元/㎡(均价),总价70-100(万/套)
天健汇,售罄,天河,车陂,车陂北路（天坤三路与健明四路交汇处）,1室,3室,,建面 36-51㎡,人车分流,小型社区,国央企,品牌房企,37500, 元/㎡(均价),总价135(万/套)
绿地云央,售罄,白云,太和,草塘路5号,3室,4室,,建面 98-138㎡,车位充足,人车分流,国央企,品牌房企,27500, 元/㎡(均价),总价275(万/套)
智杰雅筑,售罄,从化,河滨北路,向阳路32号,3室,5室,,建面 90-242㎡,绿化率高,人车分流,入户花园,贴心物业,11000, 元/㎡(均价),总价140(万/套)
南华时代城,售罄,花都,铁路西,新华街工业大道18号,3室,,,建面 105-124㎡,人车分流,大型社区,健身跑道,地铁沿线,20000, 元/㎡(均价),总价220(万/套)
公园里（春晓花园）,售罄,增城,荔城增江,广汕公路与增江大道南交汇处（天恩小学对面）,3室,,,建面 113-135㎡,车位充足,绿化率高,入户花园,中式建筑,9800, 元/㎡(均价),
中森茗苑,售罄,增城,新塘北,新塘石新路168号,3室,,,建面 85-88㎡,人车分流,封闭管理,入户花园,儿童乐园,21000, 元/㎡(均价),总价185(万/套)
宏诚海峰花园,售罄,从化,江浦街,广州市从化区江埔街环市东路453号,2室,3室,4室,建面 79-134㎡,人车分流,封闭管理,健身跑道,贴心物业,价格待定,,
越秀星汇云城,售罄,白云,同和,广州大道北同宝路163号,2室,3室,4室,建面 78-122㎡,车位充足,绿化率高,国央企,入户花园,53000, 元/㎡(均价),总价550(万/套)
盈港国际,售罄,南沙,进港大道,广州市南沙区南沙街进港大道577号进港大道盈港国际,1室,2室,3室,建面 87-139㎡,绿化率高,人车分流,自持商业,公交直达,14500, 元/㎡(均价),总价140(万/套)
远东御江豪庭,售罄,荔湾,茶滘,百花路58号（花地河畔）,0室,2室,3室,建面 85-127㎡,人车分流,小型社区,休闲会所,地铁沿线,40000, 元/㎡(均价),总价343(万/套)
中海联南沙国贸中心,售罄,南沙,金洲,上隆岭路中海联南沙国贸中心,2室,,,建面 52-58㎡,人车分流,小型社区,近地铁,地铁沿线,13000, 元/㎡(均价),总价68(万/套)
家和天曜,售罄,天河,黄村,大灵山路430号,2室,,,建面 43-52㎡,绿化率高,人车分流,自持商业,公交直达,33000, 元/㎡(均价),总价135(万/套)
大夫山尚东,售罄,番禺,市桥,禺山西路东桥大街68号,2室,3室,4室,建面 79-110㎡,绿化率高,人车分流,品牌房企,贴心物业,24000, 元/㎡(均价),总价220(万/套)
中鼎名汇,售罄,黄埔,黄埔区府,广东省广州市黄埔区丰乐北路68号,1室,2室,,建面 49-86㎡,绿化率高,人车分流,贴心物业,自持商业,23500, 元/㎡(均价),总价170(万/套)
保利罗兰国际4期,售罄,黄埔,科学城,开创大道2656号,1室,2室,3室,建面 54-172㎡,车位充足,绿化率高,国央企,品牌房企,41000, 元/㎡(均价),总价450(万/套)
金地香山湖,售罄,增城,永宁,永和新新大道15号,4室,,,建面 129-170㎡,人车分流,小型社区,品牌房企,入户花园,12000, 元/㎡(均价),总价160(万/套)
天马丽苑·悦璟湾,售罄,花都,铁路西,新街大道望亭路8号,3室,4室,,建面 99-145㎡,车位充足,绿化率高,养老舒适,入户花园,32000, 元/㎡(均价),总价360(万/套)
增城一品山湖,售罄,增城,荔城增江,增江街初溪村（广东工业大学华立学院旁和新建的北汽汽车城对面）,3室,4室,,建面 107-149㎡,人车分流,大型社区,国央企,品牌房企,11000, 元/㎡(均价),总价130(万/套)
中国铁建环球中心,售罄,南沙,南沙区府,广州市南沙区进港大道与丰泽西路交汇处,,,,,人车分流,大型社区,国央企,品牌房企,23000, 元/㎡(均价),
众筑•东山学府,售罄,越秀,环市东,东风东路737号（东风东路小学对面）,1室,2室,,建面 42-61㎡,人车分流,小型社区,近地铁,多轨交汇,价格待定,,
万科海上传奇,售罄,荔湾,芳村,芳村大道珠江隧道口以西,,,,,车位充足,小型社区,国央企,品牌房企,价格待定,,
合景誉山国际,售罄,增城,永宁,广园东新新公路中段,,,,,车位充足,人车分流,品牌房企,贴心物业,18000, 元/㎡(均价),总价90(万/套)
华发荔湾荟,售罄,荔湾,滘口,芳村大道西兴东路（郭村小区以南）,2室,3室,,建面 41-64㎡,人车分流,小型社区,国央企,品牌房企,22000, 元/㎡(均价),总价85(万/套)
广州国际空港中心,售罄,花都,镜湖大道,迎宾大道以南,1室,2室,,建面 35-41㎡,绿化率高,人车分流,国央企,品牌房企,12000, 元/㎡(均价),总价46(万/套)
招商臻园,售罄,增城,新塘北,广园快速荔新出口新塘万达旁,3室,4室,5室,建面 95-143㎡,车位充足,人车分流,国央企,品牌房企,18000, 元/㎡(均价),总价230(万/套)
越秀臻悦府,售罄,花都,镜湖大道,花都湖•凤凰南路,4室,,,建面 100-120㎡,车位充足,绿化率高,国央企,品牌房企,30000, 元/㎡(均价),总价290(万/套)
逸合中心,售罄,荔湾,鹤洞,浣花路荔湾儿童公园西侧,2室,3室,,建面 30-59㎡,人车分流,封闭管理,品牌房企,近地铁,34000, 元/㎡(均价),总价155(万/套)
粤泰荣廷府,售罄,越秀,东川路,东华西路52-56号,,,,,人车分流,小型社区,品牌房企,近地铁,价格待定,,
越秀国际总部广场,售罄,南沙,金洲,双山大道与金隆路交汇处,2室,3室,4室,建面 40-87㎡,人车分流,大型社区,国央企,品牌房企,13500, 元/㎡(均价),总价70(万/套)
天河金街,售罄,天河,天润路,天河北路曜一城广场负一楼,,,,,车位充足,小型社区,近地铁,地铁沿线,价格待定,,
合家和府,售罄,从化,旺城片区,城郊街城新路136号,2室,3室,,建面 90-124㎡,车位充足,绿化率高,儿童乐园,公交直达,12000, 元/㎡(均价),总价120(万/套)
星河·湾区壹号,售罄,南沙,金洲,金苑大街与金苑横街交叉口西,1室,2室,3室,建面 39-73㎡,人车分流,封闭管理,品牌房企,健身跑道,13000, 元/㎡(均价),总价80(万/套)
祈福黄金海岸,售罄,花都,赤坭镇,赤泥镇培正大道集益水库（培正学院旁）,2室,3室,4室,建面 73-151㎡,绿化率高,低密居所,贴心物业,实体样板间,7888, 元/㎡(均价),总价58(万/套)
海航白云YH城,售罄,白云,夏茅,鹤龙一路208号,,,,,小型社区,品牌房企,地铁沿线,公交直达,价格待定,,
嘉骏幸福里,售罄,从化,旧城区,广州市从化区城郊安园街43号,3室,,,建面 89-106㎡,绿化率高,人车分流,健身跑道,休闲会所,15500, 元/㎡(均价),总价149(万/套)
保利合锦领秀山,售罄,增城,荔城增江,增江街陆村村鹅春岭,3室,4室,,建面 100-139㎡,车位充足,人车分流,品牌房企,入户花园,10000, 元/㎡(均价),
远洋招商保利东湾,售罄,增城,朱村,广东省广州市增城区朱村大道西163号,3室,4室,,建面 96-110㎡,车位充足,人车分流,国央企,品牌房企,20000, 元/㎡(均价),总价188(万/套)
合汇璟园,售罄,增城,增城碧桂园,荔城街荔湖大道397号,4室,,,建面 207-250㎡,车位充足,人车分流,品牌房企,入户花园,35000, 元/㎡(均价),总价800(万/套)
珠光御景壹號,售罄,荔湾,黄沙,黄沙大道15-17号,1室,2室,3室,建面 50-100㎡,绿化率高,人车分流,休闲会所,自持商业,65000, 元/㎡(均价),总价400(万/套)
纵横缤城,售罄,白云,新市,佳园街37-45号（单）,2室,3室,,建面 71-100㎡,绿化率高,人车分流,地铁沿线,公交直达,43000, 元/㎡(均价),总价360(万/套)
广州大学城智慧谷,售罄,番禺,国际创新城,曾边大街思科智慧城,1室,,,建面 340㎡,人车分流,大型社区,品牌房企,入户花园,28600, 元/㎡(均价),总价950(万/套)
鸿成珠江玥,售罄,南沙,万顷沙,广州市珠江街新广六路112号,2室,3室,,建面 77-100㎡,绿化率高,低密居所,养老舒适,自持商业,19000, 元/㎡(均价),总价180(万/套)
华远雲和墅,售罄,白云,东平,白云大道北大一大街23号,2室,3室,,建面 153-230㎡,车位充足,绿化率高,国央企,养老舒适,90000, 元/㎡(均价),总价2000(万/套)
鸿成珠江玥,售罄,南沙,万顷沙,珠江街西新二路（西新社区旁）,,,,,小型社区,地铁沿线,公交直达,已交房超2年,价格待定,,
大壮国际广场,售罄,黄埔,科学城,开泰大道601号,,,,,大型社区,近地铁,地铁沿线,综合商场,价格待定,,
嘉骏幸福里,售罄,从化,旧城区,广州市从化区城郊安园街43号,,,,,人车分流,小型社区,健身跑道,贴心物业,价格待定,,
越秀臻悦府,售罄,花都,镜湖大道,"凤凰南路, 越秀臻悦府",,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
保利阅云台,售罄,白云,新市,三元里大道1375号,3室,4室,,建面 99-108㎡,车位充足,绿化率高,国央企,品牌房企,45000, 元/㎡(均价),总价450(万/套)
时代四季奕居,售罄,越秀,水荫,环市东水荫路70号,,,,,绿化率高,人车分流,国央企,品牌房企,价格待定,,
南沙.越秀明珠天悦江湾,售罄,南沙,明珠湾,庙南路江灵路小学旁越秀明珠天悦江湾,3室,4室,,建面 80-178㎡,绿化率高,人车分流,国央企,品牌房企,30000, 元/㎡(均价),总价260(万/套)
中国铁建·花语岭南,售罄,番禺,金山谷,兴学路西侧,4室,5室,,建面 110-195㎡,车位充足,绿化率高,国央企,品牌房企,45000, 元/㎡(均价),总价650(万/套)
保利拾光年,售罄,黄埔,知识城,广州市黄埔区知识城九龙大道保利拾光年,2室,3室,4室,建面 61-99㎡,车位充足,低密居所,国央企,品牌房企,25500, 元/㎡(均价),总价235(万/套)
天麟府,售罄,天河,天河公园,黄埔大道中,3室,4室,,建面 113-213㎡,车位充足,绿化率高,品牌房企,贴心物业,150000, 元/㎡(均价),总价1700(万/套)
越秀臻裕府,售罄,花都,镜湖大道,凤凰南路,3室,4室,,建面 98-124㎡,车位充足,绿化率高,国央企,品牌房企,28000, 元/㎡(均价),总价290(万/套)
世茂天越,售罄,越秀,五羊新城,五羊邨地铁站A出口（往南前行100米）,,,,,车位充足,人车分流,品牌房企,贴心物业,价格待定,,
合盛·秀丽庄园,售罄,增城,小楼镇,小楼镇春天路2号,5室,,,建面 215㎡,车位充足,低密居所,养老舒适,品牌房企,18600, 元/㎡(均价),总价500(万/套)
兰园·凤翎台,售罄,花都,镜湖大道,凤凰南路,3室,4室,,建面 86-117㎡,车位充足,绿化率高,品牌房企,贴心物业,23800, 元/㎡(均价),总价238(万/套)
领南星河荣誉,售罄,南沙,南沙港,南沙湾英东大道领南星河荣誉销售中心,3室,4室,5室,建面 97-131㎡,车位充足,绿化率高,品牌房企,贴心物业,28000, 元/㎡(均价),总价280(万/套)
兰园·凤翎台,售罄,花都,镜湖大道,凤凰南路兰园·凤翎台,,,,,车位充足,品牌房企,地铁沿线,公交直达,价格待定,,
大华·紫悦府,售罄,番禺,市桥,禺山西路,2室,3室,4室,建面 97-125㎡,车位充足,绿化率高,品牌房企,健身跑道,27000, 元/㎡(均价),总价260(万/套)
大华·紫悦府,售罄,番禺,市桥,禺山西路（海伦堡创意园旁）,,,,,车位充足,人车分流,品牌房企,贴心物业,29000, 元/㎡(均价),总价90(万/套)
盛禾水悦城,售罄,白云,石井,石门街珠岗路自编888号,,,,,人车分流,封闭管理,近地铁,地铁沿线,价格待定,,
龙湖天著,售罄,白云,人和,广州市白云区人和镇规划二横路,3室,4室,,建面 94-139㎡,车位充足,绿化率高,高品质小区,养老舒适,26000, 元/㎡(均价),总价230(万/套)
时代龙湖天著,售罄,白云,人和,广东省广州市白云区人和镇规划二横路,,,,,人车分流,封闭管理,品牌房企,健身跑道,23000, 元/㎡(均价),总价65(万/套)
时代龙湖天著,售罄,白云,人和,广东省广州市白云区人和镇规划二横路,,,,,人车分流,大型社区,品牌房企,健身跑道,价格待定,,
珠江壹号,售罄,海珠,广州大道南,逸景路353号,,,,,车位充足,人车分流,多轨交汇,地铁沿线,40000, 元/㎡(均价),
珠江壹号,售罄,海珠,广州大道南,逸景路353号,,,,,车位充足,人车分流,自持商业,多轨交汇,价格待定,,
珠江壹号,售罄,海珠,广州大道南,逸景路353号,2室,3室,4室,建面 49-95㎡,车位充足,人车分流,自持商业,多轨交汇,48000, 元/㎡(均价),总价240(万/套)
紫星华府,售罄,海珠,新港西,海珠广州大道南430号,1室,2室,3室,建面 43-104㎡,绿化率高,人车分流,贴心物业,近地铁,70000, 元/㎡(均价),总价500(万/套)
中国铁建海悦国际,售罄,南沙,万顷沙,珠江街万悦二街1号,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
璞悦台,售罄,番禺,市桥北,番禺区东环街道市新路69号,3室,4室,,建面 102-128㎡,车位充足,绿化率高,品牌房企,健身跑道,31000, 元/㎡(均价),总价320(万/套)
四海城商业广场,售罄,番禺,万博,汉溪大道东390号,31室,,,建面 2150㎡,大型社区,近地铁,多轨交汇,已交房超2年,30000, 元/㎡(均价),总价150(万/套)
建华广场,售罄,白云,机场路,云城东路555号,,,,,人车分流,封闭管理,品牌房企,自持商业,价格待定,,
智联汽车小镇,售罄,番禺,莲花山,金山大道东龙丰路段,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
光大ONE+,售罄,增城,永宁,香山大道与创盈路交汇处,,,,,车位充足,人车分流,品牌房企,公交直达,30000, 元/㎡(均价),总价200(万/套)
星樾山畔TOD,售罄,黄埔,科学城,广州市黄埔区地铁7号线燕山站上盖,3室,4室,,建面 80-110㎡,车位充足,绿化率高,国央企,品牌房企,36500, 元/㎡(均价),总价365(万/套)
星汇城,售罄,黄埔,知识城,广东省广州市黄埔区,3室,4室,,建面 81-122㎡,车位充足,绿化率高,国央企,品牌房企,22000, 元/㎡(均价),总价210(万/套)
时代云来（广州）,售罄,白云,人和,广州市白云区人和镇18/22号线方石站旁,3室,4室,,建面 77-107㎡,车位充足,绿化率高,品牌房企,科技住宅,25000, 元/㎡(均价),总价210(万/套)
万科金域曦府,售罄,荔湾,花地湾,荔湾区地铁1号线花地湾站旁,2室,3室,4室,建面 72-132㎡,人车分流,大型社区,国央企,品牌房企,55000, 元/㎡(均价),总价550(万/套)
星河智荟,售罄,南沙,明珠湾,大涌东路与工业五路交叉路东北角,3室,4室,,建面 86-130㎡,低总价,车位充足,绿化率高,品牌房企,24000, 元/㎡(均价),总价250(万/套)
越秀和樾府,售罄,番禺,汉溪长隆,番禺大道与汉溪大道交汇处西侧,3室,4室,5室,建面 98-270㎡,车位充足,人车分流,国央企,品牌房企,66000, 元/㎡(均价),总价700(万/套)
保利悦公馆,售罄,番禺,金山谷,番禺区万博金山谷旁（富豪山庄北门）,2室,3室,4室,建面 91-140㎡,车位充足,绿化率高,国央企,品牌房企,38000, 元/㎡(均价),总价345(万/套)
保利·明玥晨光,售罄,花都,新区,凤凰北路马鞍山公园西南侧,3室,4室,,建面 89-138㎡,车位充足,人车分流,国央企,品牌房企,27500, 元/㎡(均价),总价260(万/套)
雅居乐天际715,售罄,荔湾,芳村,岭海街12号,2室,,,建面 64-83㎡,人车分流,封闭管理,品牌房企,贴心物业,60000, 元/㎡(均价),总价387(万/套)
时代云来（广州）,售罄,白云,人和,广州空港经济区·江人三路南,,,,,人车分流,小型社区,品牌房企,健身跑道,35000, 元/㎡(均价),总价200(万/套)
保利阅云台,售罄,白云,新市,三元里大道1375号,1室,,,建面 28㎡,车位充足,人车分流,国央企,品牌房企,50000, 元/㎡(均价),总价300(万/套)
越秀国际总部广场,售罄,南沙,金洲,广东省广州市南沙区金隆路,,,,,人车分流,大型社区,国央企,品牌房企,25000, 元/㎡(均价),总价300(万/套)
建华广场,售罄,白云,机场路,云城东路555号,,,,,人车分流,封闭管理,品牌房企,儿童乐园,价格待定,,
景豪方大厦,售罄,越秀,北京路,大马站4、6、8号,,,,,人车分流,小型社区,国央企,品牌房企,价格待定,,
